Attribute,Value
zip,95051
sector,Healthcare
fullTimeEmployees,17700
longBusinessSummary,"Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. The Life Sciences and Applied Markets segment offers liquid chromatography systems and components; liquid chromatography mass spectrometry systems; gas chromatography systems and components; gas chromatography mass spectrometry systems; inductively coupled plasma mass spectrometry instruments; atomic absorption instruments; microwave plasma-atomic emission spectrometry instruments; inductively coupled plasma optical emission spectrometry instruments; raman spectroscopy; cell analysis plate based assays; flow cytometer; real-time cell analyzer; cell imaging systems; microplate reader; laboratory software; information management and analytics; laboratory automation and robotic systems; dissolution testing; vacuum pumps, and measurement technologies. The Diagnostics and Genomics segment provides arrays for DNA mutation detection, genotyping, gene copy number determination, identification of gene rearrangements, DNA methylation profiling, gene expression profiling, next generation sequencing, target enrichment and genetic data management, and interpretation support software; and produces synthesized oligonucleotide. It also offers immunohistochemistry in situ hybridization, and hematoxylin and eosin staining and special staining; consumables, and software for quality control analysis of nucleic acid samples; and reagents for use in turbidimetry and flow cytometry, as well as develops liquid-based pharmacodiagnostics. The Agilent CrossLab segment provides GC and LC columns, sample preparation products, custom chemistries, and laboratory instrument supplies; and startup, operational, training, compliance support, software as a service, asset management, and consultation services. The company markets its products through direct sales, distributors, resellers, manufacturer's representatives, and electronic commerce. Agilent Technologies, Inc. was incorporated in 1999 and is headquartered in Santa Clara, California."
city,Santa Clara
phone,800 227 9770
state,CA
country,United States
companyOfficers,[]
website,https://www.agilent.com
maxAge,1
address1,5301 Stevens Creek Boulevard
fax,866 497 1134
industry,Diagnostics & Research
ebitdaMargins,0.28863
profitMargins,0.19943
grossMargins,0.54212004
operatingCashflow,1304999936
revenueGrowth,0.083
operatingMargins,0.23938
ebitda,1922000000
targetLowPrice,151.13
recommendationKey,hold
grossProfits,3407000000
freeCashflow,829000000
targetMedianPrice,151.13
currentPrice,131.41
earningsGrowth,0.279
currentRatio,1.94
returnOnAssets,0.09498999
numberOfAnalystOpinions,1
targetMeanPrice,151.13
debtToEquity,60.361
returnOnEquity,0.26462
targetHighPrice,151.13
totalCash,1076999936
totalDebt,3072999936
totalRevenue,6658999808
totalCashPerShare,3.638
financialCurrency,USD
revenuePerShare,22.178
quickRatio,1.273
recommendationMean,3
exchange,NYQ
shortName,"Agilent Technologies, Inc."
longName,"Agilent Technologies, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
isEsgPopulated,False
gmtOffSetMilliseconds,-14400000
quoteType,EQUITY
symbol,A
messageBoardId,finmb_154924
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,5.918
beta3Year,
enterpriseToEbitda,20.504
52WeekChange,-0.14474458
morningStarRiskRating,
forwardEps,5.61
revenueQuarterlyGrowth,
sharesOutstanding,296040992
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,17.188
sharesShort,3031218
sharesPercentSharesOut,0.010199999
fundFamily,
lastFiscalYearEnd,1635638400
heldPercentInstitutions,0.93595004
netIncomeToCommon,1328000000
trailingEps,4.38
lastDividendValue,0.21
SandP52WeekChange,-0.13122803
priceToBook,7.6454506
heldPercentInsiders,0.00239
nextFiscalYearEnd,1698710400
yield,
mostRecentQuarter,1659225600
shortRatio,1.9
sharesShortPreviousMonthDate,1660521600
floatShares,295090280
beta,1.067119
enterpriseValue,39409606656
priceHint,2
threeYearAverageReturn,
lastSplitDate,1414972800
lastSplitFactor,1398:1000
legalType,
lastDividendDate,1664755200
morningStarOverallRating,
earningsQuarterlyGrowth,0.246
priceToSalesTrailing12Months,5.8421307
dateShortInterest,1663200000
pegRatio,1.96
ytdReturn,
forwardPE,23.424242
lastCapGain,
shortPercentOfFloat,0.010299999
sharesShortPriorMonth,2579196
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,126.38
regularMarketOpen,128.79
twoHundredDayAverage,131.01006
trailingAnnualDividendYield,0.006520019
payoutRatio,0.1881
volume24Hr,
regularMarketDayHigh,131.56
navPrice,
averageDailyVolume10Day,1402900
regularMarketPreviousClose,126.38
fiftyDayAverage,130.8934
trailingAnnualDividendRate,0.824
open,128.79
toCurrency,
averageVolume10days,1402900
expireDate,
algorithm,
dividendRate,0.84
exDividendDate,1664755200
circulatingSupply,
startDate,
regularMarketDayLow,128.575
currency,USD
trailingPE,30.002283
regularMarketVolume,1443584
lastMarket,
maxSupply,
openInterest,
marketCap,38902747136
volumeAllCurrencies,
strikePrice,
averageVolume,1428043
dayLow,128.575
ask,0
askSize,800
volume,1443584
fiftyTwoWeekHigh,165.68
fromCurrency,
fiveYearAvgDividendYield,0.73
fiftyTwoWeekLow,112.52
bid,0
tradeable,False
dividendYield,0.0069
bidSize,800
dayHigh,131.56
coinMarketCapLink,
regularMarketPrice,131.41
preMarketPrice,
logo_url,https://logo.clearbit.com/agilent.com
