,2021-10-31,2020-10-31,2019-10-31,2018-10-31
Investments,-10000000.0,-20000000.0,-23000000.0,-11000000.0
Change To Liabilities,64000000.0,2000000.0,29000000.0,40000000.0
Total Cashflows From Investing Activities,-749000000.0,-147000000.0,-1590000000.0,-705000000.0
Net Borrowings,356000000.0,-45000000.0,600000000.0,-210000000.0
Total Cash From Financing Activities,-696000000.0,-717000000.0,-299000000.0,-797000000.0
Change To Operating Activities,98000000.0,-153000000.0,-23000000.0,27000000.0
Issuance Of Stock,55000000.0,60000000.0,54000000.0,56000000.0
Net Income,1210000000.0,719000000.0,1071000000.0,316000000.0
Change In Cash,43000000.0,59000000.0,-866000000.0,-432000000.0
Repurchase Of Stock,-864000000.0,-506000000.0,-739000000.0,-452000000.0
Effect Of Exchange Rate,3000000.0,2000000.0,2000000.0,-17000000.0
Total Cash From Operating Activities,1485000000.0,921000000.0,1021000000.0,1087000000.0
Depreciation,321000000.0,308000000.0,238000000.0,210000000.0
Other Cashflows From Investing Activities,-5000000.0,-9000000.0,-3000000.0,-2000000.0
Dividends Paid,-236000000.0,-222000000.0,-206000000.0,-191000000.0
Change To Inventory,-136000000.0,-68000000.0,-36000000.0,-83000000.0
Change To Account Receivables,-128000000.0,-107000000.0,-106000000.0,-65000000.0
Other Cashflows From Financing Activities,-7000000.0,-4000000.0,-8000000.0,-8000000.0
Change To Netincome,56000000.0,220000000.0,-152000000.0,90000000.0
Capital Expenditures,-188000000.0,-119000000.0,-155000000.0,-177000000.0
