,2022-04-30,2022-01-31,2021-10-31,2021-07-31
Investments,6000000.0,-3000000.0,5000000.0,-7000000.0
Change To Liabilities,17000000.0,37000000.0,18000000.0,-5000000.0
Total Cashflows From Investing Activities,-76000000.0,-79000000.0,-59000000.0,-61000000.0
Net Borrowings,175000000.0,175000000.0,-130000000.0,-75000000.0
Total Cash From Financing Activities,-123000000.0,-546000000.0,-324000000.0,-222000000.0
Change To Operating Activities,19000000.0,-170000000.0,72000000.0,48000000.0
Net Income,274000000.0,283000000.0,442000000.0,264000000.0
Change In Cash,72000000.0,-374000000.0,55000000.0,48000000.0
Repurchase Of Stock,-235000000.0,-510000000.0,-138000000.0,-114000000.0
Effect Of Exchange Rate,-12000000.0,-4000000.0,-3000000.0,-3000000.0
Total Cash From Operating Activities,283000000.0,255000000.0,441000000.0,334000000.0
Depreciation,82000000.0,82000000.0,84000000.0,84000000.0
Dividends Paid,-63000000.0,-63000000.0,-59000000.0,-59000000.0
Change To Inventory,-70000000.0,-54000000.0,-21000000.0,-35000000.0
Change To Account Receivables,-62000000.0,-46000000.0,-59000000.0,-52000000.0
Change To Netincome,23000000.0,123000000.0,-95000000.0,30000000.0
Capital Expenditures,-64000000.0,-75000000.0,-62000000.0,-54000000.0
Issuance Of Stock,,27000000.0,3000000.0,26000000.0
Other Cashflows From Investing Activities,,-1000000.0,-3000000.0,-3000000.0
