,2022-04-30,2022-01-31,2021-10-31,2021-07-31
Research Development,115000000.0,117000000.0,116000000.0,113000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,333000000.0,319000000.0,448000000.0,327000000.0
Minority Interest,,,,
Net Income,274000000.0,283000000.0,442000000.0,264000000.0
Selling General Administrative,406000000.0,400000000.0,365000000.0,390000000.0
Gross Profit,861000000.0,910000000.0,900000000.0,852000000.0
Ebit,340000000.0,393000000.0,419000000.0,349000000.0
Operating Income,340000000.0,393000000.0,419000000.0,349000000.0
Other Operating Expenses,,,,
Interest Expense,-21000000.0,-21000000.0,-21000000.0,-21000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,59000000.0,36000000.0,6000000.0,63000000.0
Total Revenue,1607000000.0,1674000000.0,1660000000.0,1586000000.0
Total Operating Expenses,1267000000.0,1281000000.0,1241000000.0,1237000000.0
Cost Of Revenue,746000000.0,764000000.0,760000000.0,734000000.0
Total Other Income Expense Net,-7000000.0,-74000000.0,29000000.0,-22000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,274000000.0,283000000.0,442000000.0,264000000.0
Net Income Applicable To Common Shares,274000000.0,283000000.0,442000000.0,264000000.0
