Attribute,Value
zip,76155
sector,Industrials
fullTimeEmployees,129200
longBusinessSummary,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Madrid, Seattle/Tacoma, Sydney, and Tokyo. As of December 31, 2021, it operated a mainline fleet of 865 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1930 and is headquartered in Fort Worth, Texas."
city,Fort Worth
phone,682 278 9000
state,TX
country,United States
companyOfficers,[]
website,https://www.aa.com
maxAge,1
address1,1 Skyview Drive
industry,Airlines
ebitdaMargins,0.022839999
profitMargins,-0.04718
grossMargins,0.17474002
operatingCashflow,-16000000
revenueGrowth,0.795
operatingMargins,-0.03539
ebitda,930000000
targetLowPrice,8
recommendationKey,hold
grossProfits,1934000000
freeCashflow,-761124992
targetMedianPrice,15
currentPrice,12.95
earningsGrowth,21.978
currentRatio,0.814
returnOnAssets,-0.01283
numberOfAnalystOpinions,14
targetMeanPrice,16.96
debtToEquity,
returnOnEquity,
targetHighPrice,28
totalCash,12522000384
totalDebt,44864999424
totalRevenue,40717000704
totalCashPerShare,19.269
financialCurrency,USD
revenuePerShare,62.71
quickRatio,0.631
recommendationMean,3
exchange,NMS
shortName,"American Airlines Group, Inc."
longName,American Airlines Group Inc.
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
isEsgPopulated,False
gmtOffSetMilliseconds,-14400000
quoteType,EQUITY
symbol,AAL
messageBoardId,finmb_168569
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,0.986
beta3Year,
enterpriseToEbitda,43.19
52WeekChange,-0.36952287
morningStarRiskRating,
forwardEps,1.26
revenueQuarterlyGrowth,
sharesOutstanding,649846016
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,-12.961
sharesShort,80135453
sharesPercentSharesOut,0.1233
fundFamily,
lastFiscalYearEnd,1640908800
heldPercentInstitutions,0.54728
netIncomeToCommon,-1920999936
trailingEps,-3.671
lastDividendValue,0.1
SandP52WeekChange,-0.13122803
priceToBook,
heldPercentInsiders,0.0119
nextFiscalYearEnd,1703980800
yield,
mostRecentQuarter,1656547200
shortRatio,3.1
sharesShortPreviousMonthDate,1660521600
floatShares,642801597
beta,1.511785
enterpriseValue,40167145472
priceHint,2
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
lastDividendDate,1580774400
morningStarOverallRating,
earningsQuarterlyGrowth,24.053
priceToSalesTrailing12Months,0.20668286
dateShortInterest,1663200000
pegRatio,0.08
ytdReturn,
forwardPE,10.277778
lastCapGain,
shortPercentOfFloat,0.139
sharesShortPriorMonth,72812357
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,11.92
regularMarketOpen,12.31
twoHundredDayAverage,15.9153
trailingAnnualDividendYield,0
payoutRatio,0
volume24Hr,
regularMarketDayHigh,13.05
navPrice,
averageDailyVolume10Day,40825170
regularMarketPreviousClose,11.92
fiftyDayAverage,13.809
trailingAnnualDividendRate,0
open,12.31
toCurrency,
averageVolume10days,40825170
expireDate,
algorithm,
dividendRate,
exDividendDate,1580774400
circulatingSupply,
startDate,
regularMarketDayLow,12.3
currency,USD
regularMarketVolume,47616039
lastMarket,
maxSupply,
openInterest,
marketCap,8415505920
volumeAllCurrencies,
strikePrice,
averageVolume,31542012
dayLow,12.3
ask,12.93
askSize,45900
volume,47616039
fiftyTwoWeekHigh,22.35
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,11.65
bid,12.9
tradeable,False
dividendYield,
bidSize,42300
dayHigh,13.05
coinMarketCapLink,
regularMarketPrice,12.95
preMarketPrice,
logo_url,https://logo.clearbit.com/aa.com
