,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Intangible Assets,1988000000.0,2029000000.0,2084000000.0,2137000000.0
Capital Surplus,7234000000.0,6894000000.0,3945000000.0,4964000000.0
Total Liab,73807000000.0,68875000000.0,60113000000.0,60749000000.0
Total Stockholder Equity,-7340000000.0,-6867000000.0,-118000000.0,-169000000.0
Other Current Liab,8983000000.0,6790000000.0,8001000000.0,7606000000.0
Total Assets,66467000000.0,62008000000.0,59995000000.0,60580000000.0
Common Stock,6000000.0,6000000.0,4000000.0,5000000.0
Other Current Assets,990000000.0,609000000.0,158000000.0,154000000.0
Retained Earnings,-8638000000.0,-6664000000.0,2264000000.0,758000000.0
Other Liab,12620000000.0,15733000000.0,12927000000.0,13572000000.0
Good Will,4091000000.0,4091000000.0,4091000000.0,4091000000.0
Gains Losses Not Affecting Retained Earnings,-5942000000.0,-7103000000.0,-6331000000.0,-5896000000.0
Other Assets,5943000000.0,6340000000.0,3352000000.0,3555000000.0
Cash,273000000.0,245000000.0,280000000.0,275000000.0
Total Current Liabilities,19006000000.0,16569000000.0,18311000000.0,18096000000.0
Deferred Long Term Asset Charges,3556000000.0,3239000000.0,645000000.0,1145000000.0
Short Long Term Debt,2315000000.0,2697000000.0,2749000000.0,3213000000.0
Other Stockholder Equity,-5942000000.0,-7103000000.0,-6331000000.0,-5896000000.0
Property Plant Equipment,36870000000.0,38292000000.0,42058000000.0,41971000000.0
Total Current Assets,17336000000.0,11095000000.0,8206000000.0,8637000000.0
Long Term Investments,239000000.0,161000000.0,204000000.0,189000000.0
Net Tangible Assets,-13419000000.0,-12987000000.0,-6293000000.0,-6397000000.0
Short Term Investments,12158000000.0,6619000000.0,3546000000.0,4485000000.0
Net Receivables,1505000000.0,1342000000.0,1750000000.0,1706000000.0
Long Term Debt,35008000000.0,29324000000.0,20896000000.0,20566000000.0
Inventory,1795000000.0,1614000000.0,1851000000.0,1522000000.0
Accounts Payable,1772000000.0,1196000000.0,2062000000.0,1773000000.0
