,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Investments,-5554000000.0,-3029000000.0,960000000.0,500000000.0
Change To Liabilities,1855000000.0,-97000000.0,872000000.0,-133000000.0
Total Cashflows From Investing Activities,-5983000000.0,-4342000000.0,-2243000000.0,-1973000000.0
Net Borrowings,4847000000.0,8245000000.0,-230000000.0,-587000000.0
Total Cash From Financing Activities,5288000000.0,10994000000.0,-1568000000.0,-1672000000.0
Change To Operating Activities,-510000000.0,776000000.0,-1812000000.0,-655000000.0
Issuance Of Stock,460000000.0,2970000000.0,2970000000.0,2970000000.0
Net Income,-1993000000.0,-8885000000.0,1686000000.0,1412000000.0
Change In Cash,9000000.0,109000000.0,4000000.0,-112000000.0
Repurchase Of Stock,-18000000.0,-173000000.0,-1097000000.0,-837000000.0
Total Cash From Operating Activities,704000000.0,-6543000000.0,3815000000.0,3533000000.0
Depreciation,2335000000.0,2370000000.0,2318000000.0,2159000000.0
Other Cashflows From Investing Activities,-210000000.0,467000000.0,1109000000.0,1161000000.0
Change To Account Receivables,-304000000.0,538000000.0,73000000.0,222000000.0
Other Cashflows From Financing Activities,-1000000.0,-5000000.0,-63000000.0,-62000000.0
Change To Netincome,-679000000.0,-1245000000.0,678000000.0,528000000.0
Capital Expenditures,-412000000.0,-2131000000.0,-4366000000.0,-3745000000.0
Dividends Paid,,-43000000.0,-178000000.0,-186000000.0
