,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,-2548000000.0,-11453000000.0,2256000000.0,1884000000.0
Minority Interest,,,,
Net Income,-1993000000.0,-8885000000.0,1686000000.0,1412000000.0
Selling General Administrative,1098000000.0,666000000.0,2004000000.0,1520000000.0
Gross Profit,1934000000.0,-5166000000.0,13303000000.0,12204000000.0
Ebit,-5177000000.0,-11058000000.0,3889000000.0,3757000000.0
Operating Income,-5177000000.0,-11058000000.0,3889000000.0,3757000000.0
Other Operating Expenses,3994000000.0,3186000000.0,5428000000.0,5088000000.0
Interest Expense,-1800000000.0,-1227000000.0,-1095000000.0,-1056000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-555000000.0,-2568000000.0,570000000.0,472000000.0
Total Revenue,29882000000.0,17337000000.0,45768000000.0,44541000000.0
Total Operating Expenses,35059000000.0,28395000000.0,41879000000.0,40784000000.0
Cost Of Revenue,27948000000.0,22503000000.0,32465000000.0,32337000000.0
Total Other Income Expense Net,2629000000.0,-395000000.0,-1633000000.0,-1873000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-1993000000.0,-8885000000.0,1686000000.0,1412000000.0
Net Income Applicable To Common Shares,-1993000000.0,-8885000000.0,1686000000.0,1412000000.0
