,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Intangible Assets,2079000000.0,1970000000.0,1988000000.0,1998000000.0
Capital Surplus,7259000000.0,7243000000.0,7234000000.0,7221000000.0
Total Liab,76385000000.0,76341000000.0,73807000000.0,75874000000.0
Total Stockholder Equity,-8422000000.0,-8940000000.0,-7340000000.0,-7437000000.0
Other Current Liab,12034000000.0,11456000000.0,8983000000.0,9241000000.0
Total Assets,67963000000.0,67401000000.0,66467000000.0,68437000000.0
Common Stock,6000000.0,6000000.0,6000000.0,6000000.0
Other Current Assets,997000000.0,952000000.0,990000000.0,923000000.0
Retained Earnings,-9797000000.0,-10273000000.0,-8638000000.0,-7707000000.0
Other Liab,12339000000.0,12485000000.0,12620000000.0,14321000000.0
Good Will,4091000000.0,4091000000.0,4091000000.0,4091000000.0
Gains Losses Not Affecting Retained Earnings,-5890000000.0,-5916000000.0,-5942000000.0,-6957000000.0
Other Assets,6150000000.0,6284000000.0,5943000000.0,6025000000.0
Cash,401000000.0,376000000.0,273000000.0,293000000.0
Total Current Liabilities,22770000000.0,21866000000.0,19006000000.0,18938000000.0
Deferred Long Term Asset Charges,3858000000.0,4000000000.0,3556000000.0,3582000000.0
Short Long Term Debt,1933000000.0,2208000000.0,2315000000.0,2405000000.0
Other Stockholder Equity,-5890000000.0,-5916000000.0,-5942000000.0,-6957000000.0
Property Plant Equipment,36887000000.0,37058000000.0,36870000000.0,36975000000.0
Total Current Assets,18525000000.0,17762000000.0,17336000000.0,19195000000.0
Long Term Investments,231000000.0,236000000.0,239000000.0,153000000.0
Net Tangible Assets,-14592000000.0,-15001000000.0,-13419000000.0,-13526000000.0
Short Term Investments,12121000000.0,12108000000.0,12158000000.0,14243000000.0
Net Receivables,1835000000.0,1537000000.0,1505000000.0,1332000000.0
Long Term Debt,34421000000.0,34885000000.0,35008000000.0,35470000000.0
Inventory,2273000000.0,2002000000.0,1795000000.0,1851000000.0
Accounts Payable,2733000000.0,2546000000.0,1772000000.0,1835000000.0
