,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Investments,-202000000.0,54000000.0,2065000000.0,3384000000.0
Change To Liabilities,0.0,0.0,1855000000.0,0.0
Total Cashflows From Investing Activities,-929000000.0,-771000000.0,1738000000.0,3315000000.0
Net Borrowings,-791000000.0,-294000000.0,-610000000.0,-1599000000.0
Total Cash From Financing Activities,-785000000.0,-310000000.0,-561000000.0,-1609000000.0
Net Income,476000000.0,-1635000000.0,-932000000.0,169000000.0
Change In Cash,25000000.0,104000000.0,-23000000.0,-34000000.0
Repurchase Of Stock,-2000000.0,-14000000.0,-5000000.0,-5000000.0
Total Cash From Operating Activities,1739000000.0,1185000000.0,-1200000000.0,-1740000000.0
Depreciation,503000000.0,492000000.0,660000000.0,557000000.0
Other Cashflows From Investing Activities,-46000000.0,36000000.0,48000000.0,-64000000.0
Other Cashflows From Financing Activities,8000000.0,-2000000.0,54000000.0,-10000000.0
Change To Netincome,760000000.0,2328000000.0,-1969000000.0,-2467000000.0
Capital Expenditures,-692000000.0,-869000000.0,-387000000.0,-25000000.0
Change To Operating Activities,,,-510000000.0,-510000000.0
Change To Account Receivables,,,-304000000.0,-304000000.0
