,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,603000000.0,-2086000000.0,-1191000000.0,206000000.0
Minority Interest,,,,
Net Income,476000000.0,-1635000000.0,-932000000.0,169000000.0
Selling General Administrative,504000000.0,332000000.0,353000000.0,318000000.0
Gross Profit,3514000000.0,649000000.0,1428000000.0,1525000000.0
Ebit,1117000000.0,-1460000000.0,-715000000.0,-382000000.0
Operating Income,1117000000.0,-1460000000.0,-715000000.0,-382000000.0
Other Operating Expenses,1389000000.0,1285000000.0,1210000000.0,1109000000.0
Interest Expense,-468000000.0,-463000000.0,-468000000.0,-476000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,127000000.0,-451000000.0,-259000000.0,37000000.0
Total Revenue,13422000000.0,8899000000.0,9427000000.0,8969000000.0
Total Operating Expenses,12305000000.0,10359000000.0,10142000000.0,9351000000.0
Cost Of Revenue,9908000000.0,8250000000.0,7999000000.0,7444000000.0
Total Other Income Expense Net,-514000000.0,-626000000.0,-476000000.0,588000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,476000000.0,-1635000000.0,-932000000.0,169000000.0
Net Income Applicable To Common Shares,476000000.0,-1635000000.0,-932000000.0,169000000.0
