Attribute,Value
zip,27604
sector,Consumer Cyclical
fullTimeEmployees,41000
longBusinessSummary,"Advance Auto Parts, Inc. provides automotive replacement parts, accessories, batteries, and maintenance items for domestic and imported cars, vans, sport utility vehicles, and light and heavy duty trucks. The company offers battery accessories; belts and hoses; brakes and brake pads; chassis and climate control parts; clutches and drive shafts; engines and engine parts; exhaust systems and parts; hub assemblies; ignition components and wires; radiators and cooling parts; starters and alternators; and steering and alignment parts. It also offers air conditioning chemicals and accessories; air fresheners; antifreeze and washer fluids; electrical wires and fuses; electronics; floor mats, seat covers, and interior accessories; hand and specialty tools; lighting products; performance parts; sealants, adhesives and compounds; tire repair accessories; vent shades, mirrors and exterior accessories; washes, waxes and cleaning supplies; and wiper blades. In addition, the company offers air filters; fuel and oil additives; fuel filters; grease and lubricants; motor oils; oil filters, part cleaners and treatments; and transmission fluids for engine maintenance. Further, it offers battery and wiper installation; engine light scanning and checking; electrical system testing; video clinic; oil and battery recycling; and loaner tool program services. Additionally, the company sells its products through its website. It serves professional installers and do-it-yourself customers. The company operates stores under the Advance Auto Parts, Autopart International, and Carquest brands, as well as branches under the Worldpac name. As of April 23, 2022, it operated 4,687 stores and 311 branches in the United States, Puerto Rico, the U.S. Virgin Islands, and Canada; and served 1,318 independently owned Carquest branded stores in Mexico, Grand Cayman, the Bahamas, Turks and Caicos, and the British Virgin Islands. The company was founded in 1929 and is based in Raleigh, North Carolina."
city,Raleigh
phone,540 362 4911
state,NC
country,United States
companyOfficers,[]
website,https://www.advanceautoparts.com
maxAge,1
address1,4200 Six Forks Road
industry,Specialty Retail
ebitdaMargins,0.095819995
profitMargins,0.04844
grossMargins,0.44759998
operatingCashflow,644646016
revenueGrowth,0.006
operatingMargins,0.07111
ebitda,1059585024
targetLowPrice,132
recommendationKey,buy
grossProfits,4931356000
freeCashflow,236783376
targetMedianPrice,206.5
currentPrice,167.83
earningsGrowth,-0.131
currentRatio,1.158
returnOnAssets,0.04099
numberOfAnalystOpinions,18
targetMeanPrice,206.72
debtToEquity,144.851
returnOnEquity,0.17573
targetHighPrice,252
totalCash,240551008
totalDebt,4048299008
totalRevenue,11057840128
totalCashPerShare,4.038
financialCurrency,USD
revenuePerShare,178.805
quickRatio,0.219
recommendationMean,2.2
exchange,NYQ
shortName,Advance Auto Parts Inc.
longName,"Advance Auto Parts, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
isEsgPopulated,False
gmtOffSetMilliseconds,-14400000
quoteType,EQUITY
symbol,AAP
messageBoardId,finmb_24333
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,1.225
beta3Year,
enterpriseToEbitda,12.78
52WeekChange,-0.20572644
morningStarRiskRating,
forwardEps,14.68
revenueQuarterlyGrowth,
sharesOutstanding,60118200
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,46.91
sharesShort,3259761
sharesPercentSharesOut,0.0542
fundFamily,
lastFiscalYearEnd,1640995200
heldPercentInstitutions,1.0383
netIncomeToCommon,535675008
trailingEps,8.63
lastDividendValue,1.5
SandP52WeekChange,-0.13122803
priceToBook,3.577702
heldPercentInsiders,0.0077899997
nextFiscalYearEnd,1704067200
yield,
mostRecentQuarter,1657929600
shortRatio,3.58
sharesShortPreviousMonthDate,1660521600
floatShares,59376865
beta,1.242109
enterpriseValue,13541045248
priceHint,2
threeYearAverageReturn,
lastSplitDate,1127692800
lastSplitFactor,3:2
legalType,
lastDividendDate,1663200000
morningStarOverallRating,
earningsQuarterlyGrowth,-0.192
priceToSalesTrailing12Months,0.912442
dateShortInterest,1663200000
pegRatio,1.13
ytdReturn,
forwardPE,11.432561
lastCapGain,
shortPercentOfFloat,0.0612
sharesShortPriorMonth,4053157
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,163.37
regularMarketOpen,165.55
twoHundredDayAverage,201.49565
trailingAnnualDividendYield,0.030605376
payoutRatio,0.5794
volume24Hr,
regularMarketDayHigh,168.13
navPrice,
averageDailyVolume10Day,735930
regularMarketPreviousClose,163.37
fiftyDayAverage,181.0678
trailingAnnualDividendRate,5
open,165.55
toCurrency,
averageVolume10days,735930
expireDate,
algorithm,
dividendRate,6
exDividendDate,1663200000
circulatingSupply,
startDate,
regularMarketDayLow,165.32
currency,USD
trailingPE,19.447277
regularMarketVolume,695061
lastMarket,
maxSupply,
openInterest,
marketCap,10089637888
volumeAllCurrencies,
strikePrice,
averageVolume,752012
dayLow,165.32
ask,0
askSize,900
volume,695061
fiftyTwoWeekHigh,244.55
fromCurrency,
fiveYearAvgDividendYield,0.69
fiftyTwoWeekLow,154.46
bid,0
tradeable,False
dividendYield,0.0367
bidSize,800
dayHigh,168.13
coinMarketCapLink,
regularMarketPrice,167.83
preMarketPrice,
logo_url,https://logo.clearbit.com/advanceautoparts.com
