,2022-01-01,2021-01-02,2019-12-28,2018-12-29
Intangible Assets,651217000.0,681127000.0,709756000.0,550593000.0
Capital Surplus,845407000.0,783709000.0,735183000.0,694797000.0
Total Liab,9065918000.0,8280124000.0,7699444000.0,5489835000.0
Total Stockholder Equity,3128291000.0,3559512000.0,3549081000.0,3550813000.0
Other Current Liab,141877000.0,139334000.0,201725000.0,269657000.0
Total Assets,12194209000.0,11839636000.0,11248525000.0,9040648000.0
Common Stock,8000.0,8000.0,8000.0,8000.0
Other Current Assets,232245000.0,146811000.0,155241000.0,198408000.0
Retained Earnings,4605791000.0,4196634000.0,3772848000.0,3326155000.0
Other Liab,513640000.0,488726000.0,457263000.0,558165000.0
Good Will,993744000.0,993590000.0,992240000.0,990237000.0
Gains Losses Not Affecting Retained Earnings,-2322915000.0,-1420839000.0,-958958000.0,-470147000.0
Other Assets,73651000.0,52329000.0,52448000.0,48379000.0
Cash,601428000.0,834992000.0,418665000.0,896527000.0
Total Current Liabilities,5180307000.0,4743915000.0,4477702000.0,3885950000.0
Other Stockholder Equity,-22627000.0,-26759000.0,-34569000.0,-44193000.0
Property Plant Equipment,4200121000.0,3842589000.0,3798538000.0,1368985000.0
Total Current Assets,6275476000.0,6270001000.0,5695543000.0,6082454000.0
Net Tangible Assets,1483330000.0,1884795000.0,1847085000.0,2009983000.0
Net Receivables,782785000.0,749999000.0,689469000.0,624972000.0
Long Term Debt,1034320000.0,1032984000.0,747320000.0,1045720000.0
Inventory,4659018000.0,4538199000.0,4432168000.0,4362547000.0
Accounts Payable,3922007000.0,3640639000.0,3421987000.0,3172790000.0
Short Long Term Debt,,,,210000.0
