,2022-04-23,2022-01-01,2021-10-09,2021-07-17
Intangible Assets,642120000.0,651217000.0,658545000.0,665193000.0
Capital Surplus,862451000.0,845407000.0,835033000.0,818126000.0
Total Liab,9092801000.0,9065918000.0,8667636000.0,8537160000.0
Total Stockholder Equity,2909680000.0,3128291000.0,3196535000.0,3301565000.0
Other Current Liab,24297000.0,141877000.0,16481000.0,20573000.0
Total Assets,12002481000.0,12194209000.0,11864171000.0,11838725000.0
Common Stock,8000.0,8000.0,8000.0,8000.0
Other Current Assets,182399000.0,232245000.0,174406000.0,180589000.0
Retained Earnings,4653043000.0,4605791000.0,4586904000.0,4480085000.0
Other Liab,522525000.0,513640000.0,524041000.0,512958000.0
Good Will,993820000.0,993744000.0,994562000.0,994140000.0
Gains Losses Not Affecting Retained Earnings,-2605822000.0,-2322915000.0,-2225410000.0,-1996654000.0
Other Assets,53194000.0,73651000.0,52182000.0,43402000.0
Cash,138733000.0,601428000.0,604645000.0,809287000.0
Total Current Liabilities,5052574000.0,5180307000.0,4955229000.0,4899345000.0
Other Stockholder Equity,-41065000.0,-22627000.0,-21826000.0,-23283000.0
Property Plant Equipment,4255567000.0,4200121000.0,3997621000.0,3914119000.0
Total Current Assets,6057780000.0,6275476000.0,6161261000.0,6221871000.0
Net Tangible Assets,1273740000.0,1483330000.0,1543428000.0,1642232000.0
Net Receivables,957799000.0,782785000.0,931758000.0,803880000.0
Long Term Debt,1187170000.0,1034320000.0,1034002000.0,1033686000.0
Inventory,4778849000.0,4659018000.0,4450452000.0,4428115000.0
Accounts Payable,3942388000.0,3922007000.0,3750835000.0,3807293000.0
