,2022-04-23,2022-01-01,2021-10-09,2021-07-17
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,183130000.0,99965000.0,222421000.0,237765000.0
Minority Interest,,,,
Net Income,139791000.0,81669000.0,169813000.0,178696000.0
Selling General Administrative,1292856000.0,924729000.0,944581000.0,932793000.0
Gross Profit,1506576000.0,1072114000.0,1182597000.0,1189416000.0
Ebit,213720000.0,119798000.0,238016000.0,256623000.0
Operating Income,213720000.0,119798000.0,238016000.0,256623000.0
Other Operating Expenses,,,,
Interest Expense,-12868000.0,-9706000.0,-8587000.0,-8306000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,43339000.0,18296000.0,52608000.0,59069000.0
Total Revenue,3374210000.0,2396975000.0,2621229000.0,2649415000.0
Total Operating Expenses,3160490000.0,2277177000.0,2383213000.0,2392792000.0
Cost Of Revenue,1867634000.0,1324861000.0,1438632000.0,1459999000.0
Total Other Income Expense Net,-30590000.0,-19833000.0,-15595000.0,-18858000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,139791000.0,81669000.0,169813000.0,178696000.0
Net Income Applicable To Common Shares,139791000.0,81669000.0,169813000.0,178696000.0
