Attribute,Value
zip,95014
sector,Technology
fullTimeEmployees,154000
longBusinessSummary,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. In addition, the company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; AirPods Max, an over-ear wireless headphone; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, and iPod touch. Further, it provides AppleCare support services; cloud services store services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. Additionally, the company offers various services, such as Apple Arcade, a game subscription service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was incorporated in 1977 and is headquartered in Cupertino, California."
city,Cupertino
phone,408 996 1010
state,CA
country,United States
companyOfficers,[]
website,https://www.apple.com
maxAge,1
address1,One Apple Park Way
industry,Consumer Electronics
ebitdaMargins,0.3343
profitMargins,0.25709
grossMargins,0.43313998
operatingCashflow,118224003072
revenueGrowth,0.019
operatingMargins,0.30533
ebitda,129556996096
targetLowPrice,130
recommendationKey,buy
grossProfits,152836000000
freeCashflow,83344621568
targetMedianPrice,185
currentPrice,146.1
earningsGrowth,-0.077
currentRatio,0.865
returnOnAssets,0.22204
numberOfAnalystOpinions,41
targetMeanPrice,183.5
debtToEquity,205.984
returnOnEquity,1.62816
targetHighPrice,220
totalCash,48230998016
totalDebt,119691001856
totalRevenue,387541991424
totalCashPerShare,3.001
financialCurrency,USD
revenuePerShare,23.732
quickRatio,0.697
recommendationMean,1.9
exchange,NMS
shortName,Apple Inc.
longName,Apple Inc.
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
isEsgPopulated,False
gmtOffSetMilliseconds,-14400000
quoteType,EQUITY
symbol,AAPL
messageBoardId,finmb_24937
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,5.915
beta3Year,
enterpriseToEbitda,17.694
52WeekChange,0.028873205
morningStarRiskRating,
forwardEps,6.46
revenueQuarterlyGrowth,
sharesOutstanding,16070800384
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,3.61
sharesShort,116076947
sharesPercentSharesOut,0.0072000003
fundFamily,
lastFiscalYearEnd,1632528000
heldPercentInstitutions,0.59604
netIncomeToCommon,99632996352
trailingEps,6.05
lastDividendValue,0.23
SandP52WeekChange,-0.13122803
priceToBook,40.470917
heldPercentInsiders,0.0007
nextFiscalYearEnd,1695600000
yield,
mostRecentQuarter,1656115200
shortRatio,1.53
sharesShortPreviousMonthDate,1660521600
floatShares,16052270635
beta,1.234119
enterpriseValue,2292438007808
priceHint,2
threeYearAverageReturn,
lastSplitDate,1598832000
lastSplitFactor,4:1
legalType,
lastDividendDate,1659657600
morningStarOverallRating,
earningsQuarterlyGrowth,-0.106
priceToSalesTrailing12Months,6.058554
dateShortInterest,1663200000
pegRatio,2.46
ytdReturn,
forwardPE,22.6161
lastCapGain,
shortPercentOfFloat,0.0072000003
sharesShortPriorMonth,115400891
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,142.45
regularMarketOpen,145.03
twoHundredDayAverage,159.5466
trailingAnnualDividendYield,0.0062478064
payoutRatio,0.1471
volume24Hr,
regularMarketDayHigh,146.22
navPrice,
averageDailyVolume10Day,106361510
regularMarketPreviousClose,142.45
fiftyDayAverage,159.3644
trailingAnnualDividendRate,0.89
open,145.03
toCurrency,
averageVolume10days,106361510
expireDate,
algorithm,
dividendRate,0.92
exDividendDate,1659657600
circulatingSupply,
startDate,
regularMarketDayLow,144.27
currency,USD
trailingPE,24.14876
regularMarketVolume,87830064
lastMarket,
maxSupply,
openInterest,
marketCap,2347944116224
volumeAllCurrencies,
strikePrice,
averageVolume,79675107
dayLow,144.27
ask,0
askSize,800
volume,87830064
fiftyTwoWeekHigh,182.94
fromCurrency,
fiveYearAvgDividendYield,1.02
fiftyTwoWeekLow,129.04
bid,0
tradeable,False
dividendYield,0.0067000003
bidSize,1100
dayHigh,146.22
coinMarketCapLink,
regularMarketPrice,146.1
preMarketPrice,
logo_url,https://logo.clearbit.com/apple.com
