,2021-09-25,2020-09-26,2019-09-28,2018-09-29
Total Liab,287912000000.0,258549000000.0,248028000000.0,258578000000.0
Total Stockholder Equity,63090000000.0,65339000000.0,90488000000.0,107147000000.0
Other Current Liab,53577000000.0,47867000000.0,43242000000.0,39293000000.0
Total Assets,351002000000.0,323888000000.0,338516000000.0,365725000000.0
Common Stock,57365000000.0,50779000000.0,45174000000.0,40201000000.0
Other Current Assets,14111000000.0,11264000000.0,12352000000.0,12087000000.0
Retained Earnings,5562000000.0,14966000000.0,45898000000.0,70400000000.0
Other Liab,43050000000.0,46108000000.0,50503000000.0,48914000000.0
Gains Losses Not Affecting Retained Earnings,163000000.0,-406000000.0,-584000000.0,-3454000000.0
Other Assets,38762000000.0,33952000000.0,32978000000.0,22283000000.0
Cash,34940000000.0,38016000000.0,48844000000.0,25913000000.0
Total Current Liabilities,125481000000.0,105392000000.0,105718000000.0,115929000000.0
Short Long Term Debt,9613000000.0,8773000000.0,10260000000.0,8784000000.0
Other Stockholder Equity,163000000.0,-406000000.0,-584000000.0,-3454000000.0
Property Plant Equipment,49527000000.0,45336000000.0,37378000000.0,41304000000.0
Total Current Assets,134836000000.0,143713000000.0,162819000000.0,131339000000.0
Long Term Investments,127877000000.0,100887000000.0,105341000000.0,170799000000.0
Net Tangible Assets,63090000000.0,65339000000.0,90488000000.0,107147000000.0
Short Term Investments,27699000000.0,52927000000.0,51713000000.0,40388000000.0
Net Receivables,51506000000.0,37445000000.0,45804000000.0,48995000000.0
Long Term Debt,109106000000.0,98667000000.0,91807000000.0,93735000000.0
Inventory,6580000000.0,4061000000.0,4106000000.0,3956000000.0
Accounts Payable,54763000000.0,42296000000.0,46236000000.0,55888000000.0
