,2021-09-25,2020-09-26,2019-09-28,2018-09-29
Investments,-2819000000.0,5335000000.0,58093000000.0,30845000000.0
Change To Liabilities,14002000000.0,-1981000000.0,-2548000000.0,9172000000.0
Total Cashflows From Investing Activities,-14545000000.0,-4289000000.0,45896000000.0,16066000000.0
Net Borrowings,12665000000.0,2499000000.0,-7819000000.0,432000000.0
Total Cash From Financing Activities,-93353000000.0,-86820000000.0,-90976000000.0,-87876000000.0
Change To Operating Activities,-6146000000.0,881000000.0,-896000000.0,30016000000.0
Issuance Of Stock,1105000000.0,880000000.0,781000000.0,669000000.0
Net Income,94680000000.0,57411000000.0,55256000000.0,59531000000.0
Change In Cash,-3860000000.0,-10435000000.0,24311000000.0,5624000000.0
Repurchase Of Stock,-92527000000.0,-75992000000.0,-69714000000.0,-75265000000.0
Total Cash From Operating Activities,104038000000.0,80674000000.0,69391000000.0,77434000000.0
Depreciation,11284000000.0,11056000000.0,12547000000.0,10903000000.0
Other Cashflows From Investing Activities,-608000000.0,-791000000.0,-1078000000.0,-745000000.0
Dividends Paid,-14467000000.0,-14081000000.0,-14119000000.0,-13712000000.0
Change To Inventory,-2642000000.0,-127000000.0,-289000000.0,828000000.0
Change To Account Receivables,-10125000000.0,6917000000.0,245000000.0,-5322000000.0
Other Cashflows From Financing Activities,-129000000.0,-126000000.0,-105000000.0,-105000000.0
Change To Netincome,2985000000.0,6517000000.0,5076000000.0,-27694000000.0
Capital Expenditures,-11085000000.0,-7309000000.0,-10495000000.0,-13313000000.0
