,2022-06-25,2022-03-26,2021-12-25,2021-09-25
Total Liab,278202000000.0,283263000000.0,309259000000.0,287912000000.0
Total Stockholder Equity,58107000000.0,67399000000.0,71932000000.0,63090000000.0
Other Current Liab,56539000000.0,58168000000.0,57043000000.0,53577000000.0
Total Assets,336309000000.0,350662000000.0,381191000000.0,351002000000.0
Common Stock,62115000000.0,61181000000.0,58424000000.0,57365000000.0
Other Current Assets,16386000000.0,15809000000.0,18112000000.0,14111000000.0
Retained Earnings,5289000000.0,12712000000.0,14435000000.0,5562000000.0
Other Liab,53629000000.0,52432000000.0,55056000000.0,43050000000.0
Gains Losses Not Affecting Retained Earnings,-9297000000.0,-6494000000.0,-927000000.0,163000000.0
Other Assets,52605000000.0,51959000000.0,50109000000.0,38762000000.0
Cash,27502000000.0,28098000000.0,37119000000.0,34940000000.0
Total Current Liabilities,129873000000.0,127508000000.0,147574000000.0,125481000000.0
Short Long Term Debt,14009000000.0,9659000000.0,11169000000.0,9613000000.0
Other Stockholder Equity,-9297000000.0,-6494000000.0,-927000000.0,163000000.0
Property Plant Equipment,40335000000.0,39304000000.0,39245000000.0,49527000000.0
Total Current Assets,112292000000.0,118180000000.0,153154000000.0,134836000000.0
Long Term Investments,131077000000.0,141219000000.0,138683000000.0,127877000000.0
Net Tangible Assets,58107000000.0,67399000000.0,71932000000.0,63090000000.0
Short Term Investments,20729000000.0,23413000000.0,26794000000.0,27699000000.0
Net Receivables,42242000000.0,45400000000.0,65253000000.0,51506000000.0
Long Term Debt,94700000000.0,103323000000.0,106629000000.0,109106000000.0
Inventory,5433000000.0,5460000000.0,5876000000.0,6580000000.0
Accounts Payable,48343000000.0,52682000000.0,74362000000.0,54763000000.0
