,2022-06-25,2022-03-26,2021-12-25,2021-09-25
Research Development,6797000000.0,6387000000.0,6306000000.0,5772000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,23066000000.0,30139000000.0,41241000000.0,23248000000.0
Minority Interest,,,,
Net Income,19442000000.0,25010000000.0,34630000000.0,20551000000.0
Selling General Administrative,6012000000.0,6193000000.0,6449000000.0,5616000000.0
Gross Profit,35885000000.0,42559000000.0,54243000000.0,35174000000.0
Ebit,23076000000.0,29979000000.0,41488000000.0,23786000000.0
Operating Income,23076000000.0,29979000000.0,41488000000.0,23786000000.0
Other Operating Expenses,,,,
Interest Expense,-719000000.0,-691000000.0,-694000000.0,-672000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,3624000000.0,5129000000.0,6611000000.0,2697000000.0
Total Revenue,82959000000.0,97278000000.0,123945000000.0,83360000000.0
Total Operating Expenses,59883000000.0,67299000000.0,82457000000.0,59574000000.0
Cost Of Revenue,47074000000.0,54719000000.0,69702000000.0,48186000000.0
Total Other Income Expense Net,-10000000.0,160000000.0,-247000000.0,-538000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,19442000000.0,25010000000.0,34630000000.0,20551000000.0
Net Income Applicable To Common Shares,19442000000.0,25010000000.0,34630000000.0,20551000000.0
