Attribute,Value
zip,60064-6400
sector,Healthcare
fullTimeEmployees,50000
longBusinessSummary,"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceuticals in the worldwide. The company offers HUMIRA, a therapy administered as an injection for autoimmune and intestinal Behçet's diseases; SKYRIZI to treat moderate to severe plaque psoriasis in adults; RINVOQ, a JAK inhibitor for the treatment of moderate to severe active rheumatoid arthritis in adult patients; IMBRUVICA to treat adult patients with chronic lymphocytic leukemia (CLL), small lymphocytic lymphoma (SLL), and VENCLEXTA, a BCL-2 inhibitor used to treat adults with CLL or SLL; and MAVYRET to treat patients with chronic HCV genotype 1-6 infection. It also provides CREON, a pancreatic enzyme therapy for exocrine pancreatic insufficiency; Synthroid used in the treatment of hypothyroidism; Linzess/Constella to treat irritable bowel syndrome with constipation and chronic idiopathic constipation; Lupron for the palliative treatment of advanced prostate cancer, endometriosis and central precocious puberty, and patients with anemia caused by uterine fibroids; and Botox therapeutic. In addition, the company offers ORILISSA, a nonpeptide small molecule gonadotropin-releasing hormone antagonist for women with moderate to severe endometriosis pain; Duopa and Duodopa, a levodopa-carbidopa intestinal gel to treat Parkinson's disease; Lumigan/Ganfort, a bimatoprost ophthalmic solution for the reduction of elevated intraocular pressure (IOP) in patients with open angle glaucoma (OAG) or ocular hypertension; Ubrelvy to treat migraine with or without aura in adults; Alphagan/ Combigan, an alpha-adrenergic receptor agonist for the reduction of IOP in patients with OAG; and Restasis, a calcineurin inhibitor immunosuppressant to increase tear production, as well as other eye care products. AbbVie Inc. has a research collaboration with Dragonfly Therapeutics, Inc. The company was incorporated in 2012 and is headquartered in North Chicago, Illinois."
city,North Chicago
phone,847 932 7900
state,IL
country,United States
companyOfficers,[]
website,https://www.abbvie.com
maxAge,1
address1,1 North Waukegan Road
industry,Drug Manufacturers—General
ebitdaMargins,0.47377
profitMargins,0.22035
grossMargins,0.70725
operatingCashflow,22922999808
revenueGrowth,0.045
operatingMargins,0.33058998
ebitda,27170000896
targetLowPrice,135
recommendationKey,buy
grossProfits,38883000000
freeCashflow,18629376000
targetMedianPrice,156
currentPrice,141.99
earningsGrowth,0.214
currentRatio,0.844
returnOnAssets,0.08139
numberOfAnalystOpinions,21
targetMeanPrice,158.61
debtToEquity,498.284
returnOnEquity,0.92706
targetHighPrice,200
totalCash,9962999808
totalDebt,73187999744
totalRevenue,57349001216
totalCashPerShare,5.635
financialCurrency,USD
revenuePerShare,32.391
quickRatio,0.615
recommendationMean,2.2
exchange,NYQ
shortName,AbbVie Inc.
longName,AbbVie Inc.
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
isEsgPopulated,False
gmtOffSetMilliseconds,-14400000
quoteType,EQUITY
symbol,ABBV
messageBoardId,finmb_141885706
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,5.241
beta3Year,
enterpriseToEbitda,11.062
52WeekChange,0.29884744
morningStarRiskRating,
forwardEps,11.82
revenueQuarterlyGrowth,
sharesOutstanding,1768099968
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,8.288
sharesShort,12947137
sharesPercentSharesOut,0.0073
fundFamily,
lastFiscalYearEnd,1640908800
heldPercentInstitutions,0.70754
netIncomeToCommon,12570999808
trailingEps,7.07
lastDividendValue,1.41
SandP52WeekChange,-0.13122803
priceToBook,17.131998
heldPercentInsiders,0.00112
nextFiscalYearEnd,1703980800
yield,
mostRecentQuarter,1656547200
shortRatio,2.93
sharesShortPreviousMonthDate,1660521600
floatShares,1765992460
beta,0.693967
enterpriseValue,300556222464
priceHint,2
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
lastDividendDate,1657756800
morningStarOverallRating,
earningsQuarterlyGrowth,0.206
priceToSalesTrailing12Months,4.377627
dateShortInterest,1663200000
pegRatio,-17.49
ytdReturn,
forwardPE,12.0126915
lastCapGain,
shortPercentOfFloat,0.0073
sharesShortPriorMonth,13012004
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,138.32
regularMarketOpen,139.21
twoHundredDayAverage,146.3763
trailingAnnualDividendYield,0.039979756
payoutRatio,0.7666
volume24Hr,
regularMarketDayHigh,142.72
navPrice,
averageDailyVolume10Day,6841790
regularMarketPreviousClose,138.32
fiftyDayAverage,140.8758
trailingAnnualDividendRate,5.53
open,139.21
toCurrency,
averageVolume10days,6841790
expireDate,
algorithm,
dividendRate,5.64
exDividendDate,1665619200
circulatingSupply,
startDate,
regularMarketDayLow,137.7585
currency,USD
trailingPE,20.083452
regularMarketVolume,6241746
lastMarket,
maxSupply,
openInterest,
marketCap,251052523520
volumeAllCurrencies,
strikePrice,
averageVolume,5554984
dayLow,137.7585
ask,0
askSize,800
volume,6241746
fiftyTwoWeekHigh,175.91
fromCurrency,
fiveYearAvgDividendYield,4.31
fiftyTwoWeekLow,106.86
bid,0
tradeable,False
dividendYield,0.042
bidSize,900
dayHigh,142.72
coinMarketCapLink,
regularMarketPrice,141.99
preMarketPrice,
logo_url,https://logo.clearbit.com/abbvie.com
