,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Intangible Assets,75951000000.0,82876000000.0,18649000000.0,21233000000.0
Capital Surplus,18305000000.0,17384000000.0,15193000000.0,14756000000.0
Total Liab,131093000000.0,137468000000.0,97287000000.0,67798000000.0
Total Stockholder Equity,15408000000.0,13076000000.0,-8172000000.0,-8446000000.0
Minority Interest,28000000.0,21000000.0,,
Other Current Liab,8932000000.0,8354000000.0,4631000000.0,5355000000.0
Total Assets,146529000000.0,150565000000.0,89115000000.0,59352000000.0
Common Stock,18000000.0,18000000.0,18000000.0,18000000.0
Other Current Assets,226000000.0,51000000.0,22000000.0,132000000.0
Retained Earnings,3127000000.0,1055000000.0,4717000000.0,3368000000.0
Other Liab,30982000000.0,30401000000.0,18402000000.0,15557000000.0
Good Will,32379000000.0,33124000000.0,15604000000.0,15663000000.0
Gains Losses Not Affecting Retained Earnings,-6042000000.0,-5381000000.0,-28100000000.0,-26588000000.0
Other Assets,4081000000.0,3825000000.0,1913000000.0,1208000000.0
Cash,9746000000.0,8449000000.0,39924000000.0,7289000000.0
Total Current Liabilities,35194000000.0,28661000000.0,15585000000.0,17239000000.0
Short Long Term Debt,12479000000.0,8474000000.0,3748000000.0,1609000000.0
Other Stockholder Equity,-2899000000.0,-3117000000.0,-3596000000.0,-2480000000.0
Property Plant Equipment,5872000000.0,6143000000.0,3306000000.0,2883000000.0
Total Current Assets,27928000000.0,24173000000.0,49519000000.0,16945000000.0
Long Term Investments,318000000.0,424000000.0,124000000.0,1420000000.0
Net Tangible Assets,-92922000000.0,-102924000000.0,-42425000000.0,-45342000000.0
Short Term Investments,84000000.0,30000000.0,,772000000.0
Net Receivables,9977000000.0,8822000000.0,5428000000.0,5384000000.0
Long Term Debt,64179000000.0,77553000000.0,63029000000.0,35002000000.0
Inventory,3128000000.0,3310000000.0,1813000000.0,1605000000.0
Accounts Payable,2882000000.0,2276000000.0,1452000000.0,1546000000.0
