,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Investments,-21000000.0,1464000000.0,2116000000.0,368000000.0
Change To Liabilities,1628000000.0,1514000000.0,97000000.0,734000000.0
Total Cashflows From Investing Activities,-2344000000.0,-37557000000.0,596000000.0,-1006000000.0
Net Borrowings,-8414000000.0,-2683000000.0,26247000000.0,3229000000.0
Total Cash From Financing Activities,-19039000000.0,-11501000000.0,18708000000.0,-14396000000.0
Change To Operating Activities,-197000000.0,134000000.0,-225000000.0,-200000000.0
Issuance Of Stock,244000000.0,209000000.0,8000000.0,73000000.0
Net Income,11542000000.0,4616000000.0,7882000000.0,5687000000.0
Change In Cash,1297000000.0,-31475000000.0,32635000000.0,-2014000000.0
Repurchase Of Stock,-934000000.0,-978000000.0,-629000000.0,-12014000000.0
Effect Of Exchange Rate,-97000000.0,-5000000.0,7000000.0,-39000000.0
Total Cash From Operating Activities,22777000000.0,17588000000.0,13324000000.0,13427000000.0
Depreciation,8521000000.0,6471000000.0,2017000000.0,1765000000.0
Other Cashflows From Investing Activities,366000000.0,1387000000.0,167000000.0,167000000.0
Dividends Paid,-9261000000.0,-7716000000.0,-6366000000.0,-5580000000.0
Change To Inventory,-142000000.0,-40000000.0,-231000000.0,-226000000.0
Change To Account Receivables,-1321000000.0,-929000000.0,-74000000.0,-591000000.0
Other Cashflows From Financing Activities,-674000000.0,-333000000.0,-552000000.0,-104000000.0
Change To Netincome,4036000000.0,6395000000.0,4876000000.0,5584000000.0
Capital Expenditures,-787000000.0,-798000000.0,-552000000.0,-638000000.0
