,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,6982000000.0,6181000000.0,5377000000.0,5259000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,12989000000.0,3398000000.0,8426000000.0,5197000000.0
Minority Interest,28000000.0,21000000.0,21000000.0,21000000.0
Net Income,11542000000.0,4616000000.0,7882000000.0,5687000000.0
Selling General Administrative,11872000000.0,9867000000.0,6763000000.0,7353000000.0
Gross Profit,38883000000.0,31747000000.0,25827000000.0,25035000000.0
Ebit,19529000000.0,15699000000.0,14247000000.0,11923000000.0
Operating Income,19529000000.0,15699000000.0,14247000000.0,11923000000.0
Other Operating Expenses,500000000.0,500000000.0,-560000000.0,500000000.0
Interest Expense,-2423000000.0,-2454000000.0,-1784000000.0,-1348000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1440000000.0,-1224000000.0,544000000.0,-490000000.0
Total Revenue,56197000000.0,45804000000.0,33266000000.0,32753000000.0
Total Operating Expenses,36668000000.0,30105000000.0,19019000000.0,20830000000.0
Cost Of Revenue,17314000000.0,14057000000.0,7439000000.0,7718000000.0
Total Other Income Expense Net,-6540000000.0,-12301000000.0,-5821000000.0,-6726000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,11549000000.0,4622000000.0,7882000000.0,5687000000.0
Net Income Applicable To Common Shares,11468000000.0,4556000000.0,7842000000.0,5657000000.0
