,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Total Stockholder Equity,16283000000.0,15408000000.0,15408000000.0,13550000000.0
Net Tangible Assets,-90001000000.0,-92922000000.0,-92922000000.0,-96202000000.0
Intangible Assets,,73986000000.0,75951000000.0,77456000000.0
Capital Surplus,,18731000000.0,18305000000.0,18108000000.0
Total Liab,,126897000000.0,131093000000.0,135281000000.0
Minority Interest,,31000000.0,28000000.0,27000000.0
Other Current Liab,,436000000.0,8932000000.0,504000000.0
Total Assets,,143211000000.0,146529000000.0,148858000000.0
Common Stock,,18000000.0,18000000.0,18000000.0
Other Current Assets,,139000000.0,226000000.0,140000000.0
Retained Earnings,,5103000000.0,3127000000.0,1600000000.0
Other Liab,,30681000000.0,30982000000.0,32684000000.0
Good Will,,32298000000.0,32379000000.0,32296000000.0
Gains Losses Not Affecting Retained Earnings,,-7569000000.0,-6042000000.0,-6176000000.0
Other Assets,,5083000000.0,4081000000.0,4679000000.0
Cash,,6098000000.0,9746000000.0,12182000000.0
Total Current Liabilities,,32521000000.0,35194000000.0,28533000000.0
Short Long Term Debt,,9941000000.0,12479000000.0,6657000000.0
Other Stockholder Equity,,-2984000000.0,-2899000000.0,-3156000000.0
Property Plant Equipment,,5075000000.0,5872000000.0,5130000000.0
Total Current Assets,,26509000000.0,27928000000.0,28957000000.0
Long Term Investments,,260000000.0,318000000.0,340000000.0
Short Term Investments,,1474000000.0,84000000.0,67000000.0
Net Receivables,,10733000000.0,9977000000.0,9281000000.0
Long Term Debt,,63695000000.0,64179000000.0,74064000000.0
Inventory,,3483000000.0,3128000000.0,3094000000.0
Accounts Payable,,22132000000.0,2882000000.0,21356000000.0
