,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Net Income,924000000.0,4490000000.0,4044000000.0,3179000000.0
Change To Liabilities,0.0,-258000000.0,174000000.0,1146000000.0
Investments,,-1398000000.0,-36000000.0,6000000.0
Total Cashflows From Investing Activities,,-1591000000.0,-1145000000.0,-615000000.0
Net Borrowings,,-2879000000.0,-3752000000.0,-1201000000.0
Total Cash From Financing Activities,,-6972000000.0,-6338000000.0,-3643000000.0
Change To Operating Activities,,-285000000.0,265000000.0,-181000000.0
Issuance Of Stock,,128000000.0,75000000.0,25000000.0
Change In Cash,,-3648000000.0,-2436000000.0,3636000000.0
Repurchase Of Stock,,-1470000000.0,-131000000.0,-6000000.0
Effect Of Exchange Rate,,7000000.0,-28000000.0,-41000000.0
Total Cash From Operating Activities,,4908000000.0,5075000000.0,7935000000.0
Depreciation,,2053000000.0,1979000000.0,2127000000.0
Other Cashflows From Investing Activities,,154000000.0,143000000.0,88000000.0
Dividends Paid,,-2526000000.0,-2314000000.0,-2315000000.0
Change To Inventory,,-385000000.0,-112000000.0,219000000.0
Change To Account Receivables,,-785000000.0,-749000000.0,590000000.0
Other Cashflows From Financing Activities,,-225000000.0,-216000000.0,-146000000.0
Change To Netincome,,-360000000.0,136000000.0,921000000.0
Capital Expenditures,,-162000000.0,-187000000.0,-217000000.0
