,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Research Development,1607000000.0,1486000000.0,1812000000.0,1655000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,1183000000.0,4929000000.0,4271000000.0,3688000000.0
Minority Interest,,31000000.0,28000000.0,27000000.0
Net Income,924000000.0,4490000000.0,4044000000.0,3179000000.0
Selling General Administrative,3130000000.0,2828000000.0,3136000000.0,2946000000.0
Gross Profit,10441000000.0,9520000000.0,10606000000.0,9998000000.0
Ebit,5876000000.0,5201000000.0,5590000000.0,4897000000.0
Operating Income,5876000000.0,5201000000.0,5590000000.0,4897000000.0
Other Operating Expenses,-172000000.0,-172000000.0,68000000.0,500000000.0
Interest Expense,-532000000.0,-539000000.0,-580000000.0,-596000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,255000000.0,436000000.0,226000000.0,508000000.0
Total Revenue,14583000000.0,13538000000.0,14886000000.0,14342000000.0
Total Operating Expenses,8707000000.0,8337000000.0,9296000000.0,9445000000.0
Cost Of Revenue,4142000000.0,4018000000.0,4280000000.0,4344000000.0
Total Other Income Expense Net,-4693000000.0,-272000000.0,-1319000000.0,-1209000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,928000000.0,4493000000.0,4045000000.0,3180000000.0
Net Income Applicable To Common Shares,924000000.0,4490000000.0,4023000000.0,3158000000.0
