Attribute,Value
zip,19428-1800
sector,Healthcare
fullTimeEmployees,42000
longBusinessSummary,"AmerisourceBergen Corporation sources and distributes pharmaceutical products in the United States and internationally. Its Pharmaceutical Distribution segment distributes brand-name and generic pharmaceuticals, over-the-counter healthcare products, home healthcare supplies and equipment, and related services to various healthcare providers, including acute care hospitals and health systems, independent and chain retail pharmacies, mail order pharmacies, medical clinics, long-term care and alternate site pharmacies, and other customers. It also provides pharmacy management, staffing, and other consulting services; supply management software to retail and institutional healthcare providers; and packaging solutions to various institutional and retail healthcare providers. In addition, this segment distributes plasma and other blood products, injectable pharmaceuticals, vaccines, and other specialty products; provides other services primarily to physicians who specialize in various disease states, primarily oncology, as well as to other healthcare providers, including hospitals and dialysis clinics; and offers data analytics, outcomes research, and additional services for biotechnology and pharmaceutical manufacturers. The company's Other segment provides integrated manufacturer services, such as clinical trial support, product post-approval, and commercialization support; specialty transportation and logistics services for the biopharmaceutical industry; and sells pharmaceuticals, vaccines, parasiticides, diagnostics, micro feed ingredients, and various other products to customers in the companion animal and production animal markets, as well as demand-creating sales force services to manufacturers. AmerisourceBergen Corporation was incorporated in 2001 and is headquartered in Conshohocken, Pennsylvania."
city,Conshohocken
phone,610 727 7000
state,PA
country,United States
companyOfficers,[]
website,https://www.amerisourcebergen.com
maxAge,1
address1,1 West First Avenue
fax,800 640 5221
industry,Medical Distribution
ebitdaMargins,0.015149999
profitMargins,0.0077899997
grossMargins,0.03548
operatingCashflow,2548434944
revenueGrowth,0.125
operatingMargins,0.012200001
ebitda,3580100096
targetLowPrice,155
recommendationKey,buy
grossProfits,6774434000
freeCashflow,2538072832
targetMedianPrice,175
currentPrice,142.73
earningsGrowth,0.371
currentRatio,0.921
returnOnAssets,0.03186
numberOfAnalystOpinions,12
targetMeanPrice,173.83
debtToEquity,1420.729
returnOnEquity,3.89572
targetHighPrice,191
totalCash,3034233088
totalDebt,7357447168
totalRevenue,236325273600
totalCashPerShare,14.64
financialCurrency,USD
revenuePerShare,1132.645
quickRatio,0.505
recommendationMean,2.3
exchange,NYQ
shortName,AmerisourceBergen Corporation
longName,AmerisourceBergen Corporation
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
isEsgPopulated,False
gmtOffSetMilliseconds,-14400000
quoteType,EQUITY
symbol,ABC
messageBoardId,finmb_24809
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,0.145
beta3Year,
enterpriseToEbitda,9.552
52WeekChange,0.22095811
morningStarRiskRating,
forwardEps,11.47
revenueQuarterlyGrowth,
sharesOutstanding,207258000
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,1.079
sharesShort,4612538
sharesPercentSharesOut,0.0223
fundFamily,
lastFiscalYearEnd,1632960000
heldPercentInstitutions,0.70757
netIncomeToCommon,1841780992
trailingEps,8.92
lastDividendValue,0.46
SandP52WeekChange,-0.13122803
priceToBook,132.27989
heldPercentInsiders,0.25757
nextFiscalYearEnd,1696032000
yield,
mostRecentQuarter,1656547200
shortRatio,5.59
sharesShortPreviousMonthDate,1660521600
floatShares,153781359
beta,0.464242
enterpriseValue,34198726656
priceHint,2
threeYearAverageReturn,
lastSplitDate,1245110400
lastSplitFactor,2:1
legalType,
lastDividendDate,1660262400
morningStarOverallRating,
earningsQuarterlyGrowth,0.393
priceToSalesTrailing12Months,0.12517464
dateShortInterest,1663200000
pegRatio,1.28
ytdReturn,
forwardPE,12.443766
lastCapGain,
shortPercentOfFloat,0.0312
sharesShortPriorMonth,4176986
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,139.31
regularMarketOpen,140.02
twoHundredDayAverage,145.15926
trailingAnnualDividendYield,0.013064389
payoutRatio,0.20899999
volume24Hr,
regularMarketDayHigh,142.8516
navPrice,
averageDailyVolume10Day,1073870
regularMarketPreviousClose,139.31
fiftyDayAverage,144.168
trailingAnnualDividendRate,1.82
open,140.02
toCurrency,
averageVolume10days,1073870
expireDate,
algorithm,
dividendRate,1.84
exDividendDate,1660262400
circulatingSupply,
startDate,
regularMarketDayLow,139.57
currency,USD
trailingPE,16.00112
regularMarketVolume,1049001
lastMarket,
maxSupply,
openInterest,
marketCap,29581932544
volumeAllCurrencies,
strikePrice,
averageVolume,990796
dayLow,139.57
ask,0
askSize,900
volume,1049001
fiftyTwoWeekHigh,167.19
fromCurrency,
fiveYearAvgDividendYield,1.65
fiftyTwoWeekLow,113.68
bid,0
tradeable,False
dividendYield,0.013200001
bidSize,1300
dayHigh,142.8516
coinMarketCapLink,
regularMarketPrice,142.73
preMarketPrice,
logo_url,https://logo.clearbit.com/amerisourcebergen.com
