,2021-09-30,2020-09-30,2019-09-30,2018-09-30
Investments,-162620000.0,-56080000.0,-56080000.0,-56080000.0
Change To Liabilities,2049167000.0,3300832000.0,1561048000.0,859036000.0
Total Cashflows From Investing Activities,-6141577000.0,-379871000.0,-375832000.0,-1111114000.0
Net Borrowings,2216552000.0,-32006000.0,-133073000.0,635695000.0
Total Cash From Financing Activities,1952849000.0,-603617000.0,-1086513000.0,-242873000.0
Change To Operating Activities,152905000.0,6704188000.0,234217000.0,-612897000.0
Issuance Of Stock,198750000.0,159533000.0,76234000.0,138456000.0
Net Income,1539932000.0,-3408716000.0,855365000.0,1658405000.0
Change In Cash,-1527618000.0,1223552000.0,881678000.0,57401000.0
Repurchase Of Stock,-105697000.0,-430236000.0,-680018000.0,-647481000.0
Effect Of Exchange Rate,-3725000.0,-3725000.0,-3725000.0,-3725000.0
Total Cash From Operating Activities,2666586000.0,2207040000.0,2344023000.0,1411388000.0
Depreciation,505086000.0,401613000.0,490412000.0,502409000.0
Other Cashflows From Investing Activities,7861000.0,9522000.0,-2954000.0,2496000.0
Dividends Paid,-366648000.0,-343578000.0,-338974000.0,-333041000.0
Change To Inventory,-1116344000.0,-1621143000.0,-167990000.0,-4923000.0
Change To Account Receivables,-930078000.0,-1628991000.0,-1241890000.0,-657770000.0
Other Cashflows From Financing Activities,9892000.0,42670000.0,-10682000.0,-36502000.0
Change To Netincome,244546000.0,-1061285000.0,621948000.0,-555037000.0
Capital Expenditures,-438217000.0,-369677000.0,-310222000.0,-336411000.0
