,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Intangible Assets,4888039000.0,5080673000.0,5256927000.0,5437825000.0
Capital Surplus,5599819000.0,5546614000.0,5465104000.0,5412586000.0
Total Liab,56402088000.0,56976443000.0,56753394000.0,55522495000.0
Total Stockholder Equity,550309000.0,241546000.0,223354000.0,37962000.0
Minority Interest,355756000.0,359575000.0,361057000.0,370479000.0
Other Current Liab,994762000.0,982179000.0,956869000.0,477000000.0
Total Assets,57308153000.0,57577564000.0,57337805000.0,55930936000.0
Common Stock,2924000.0,2920000.0,2907000.0,2903000.0
Other Current Assets,2294577000.0,2188401000.0,2107451000.0,1344365000.0
Retained Earnings,2469709000.0,2019077000.0,1670513000.0,1325422000.0
Other Liab,7920755000.0,7889885000.0,8064887000.0,8226707000.0
Good Will,8798265000.0,8921790000.0,9030531000.0,9132723000.0
Gains Losses Not Affecting Retained Earnings,-7522143000.0,-7327065000.0,-6915170000.0,-6702949000.0
Other Assets,2073511000.0,2066519000.0,1017602000.0,1957542000.0
Cash,2960759000.0,3168881000.0,2547142000.0,2553217000.0
Total Current Liabilities,42797581000.0,41613605000.0,41358641000.0,39589838000.0
Deferred Long Term Asset Charges,267200000.0,270049000.0,290791000.0,289040000.0
Short Long Term Debt,1809660000.0,268563000.0,300213000.0,455609000.0
Other Stockholder Equity,-1005819000.0,-822783000.0,-445442000.0,-233238000.0
Property Plant Equipment,2138598000.0,2129697000.0,3230136000.0,2143080000.0
Total Current Assets,39409740000.0,39378885000.0,38802609000.0,37259766000.0
Net Tangible Assets,-13135995000.0,-13760917000.0,-14064104000.0,-14532586000.0
Net Receivables,18246365000.0,17329294000.0,18389050000.0,17949235000.0
Long Term Debt,4646712000.0,6412537000.0,6383711000.0,6647183000.0
Inventory,15514851000.0,16293933000.0,15368352000.0,14996364000.0
Accounts Payable,38210623000.0,38617734000.0,38009954000.0,36502816000.0
