,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Change To Liabilities,-225645000.0,824056000.0,1806748000.0,534974000.0
Total Cashflows From Investing Activities,-194044000.0,-143120000.0,-171349000.0,-5655996000.0
Net Borrowings,-202304000.0,-6486000.0,-403763000.0,550670000.0
Total Cash From Financing Activities,-278164000.0,-106423000.0,-444607000.0,488940000.0
Change To Operating Activities,188191000.0,-398254000.0,-75314000.0,341666000.0
Issuance Of Stock,34036000.0,38937000.0,34453000.0,33971000.0
Net Income,548014000.0,449105000.0,437698000.0,292122000.0
Change In Cash,-209578000.0,612252000.0,388385000.0,-3959437000.0
Repurchase Of Stock,-12042000.0,-34554000.0,-17000.0,-17000.0
Effect Of Exchange Rate,-2401000.0,-2654000.0,-3725000.0,-3725000.0
Total Cash From Operating Activities,266585000.0,863411000.0,1009817000.0,1207619000.0
Depreciation,176273000.0,177270000.0,171316000.0,127953000.0
Other Cashflows From Investing Activities,-2875000.0,-788000.0,5345000.0,2516000.0
Dividends Paid,-97382000.0,-100541000.0,-92607000.0,-91676000.0
Change To Inventory,774514000.0,-989993000.0,-521636000.0,-280414000.0
Change To Account Receivables,-1243901000.0,716380000.0,-813233000.0,76925000.0
Other Cashflows From Financing Activities,-472000.0,-3779000.0,17327000.0,-4025000.0
Change To Netincome,29365000.0,41561000.0,-20844000.0,56996000.0
Capital Expenditures,-129652000.0,-79691000.0,-164810000.0,-121795000.0
