Attribute,Value
zip,01923
sector,Healthcare
fullTimeEmployees,2003
longBusinessSummary,"Abiomed, Inc. engages in the research, development, and sale of medical devices to assist or replace the pumping function of the failing heart. It also provides a continuum of care to heart failure patients. The company offers Impella 2.5, a percutaneous micro heart pump with integrated motor and sensors; and Impella CP, a device for use by interventional cardiologists to support patients in the cath lab, as well as by cardiac surgeons in the heart surgery suite. It also provides Impella 5.0, Impella LD, and Impella 5.5, which are percutaneous micro heart pumps with integrated motors and sensors for use primarily in the heart surgery suite; Impella RP, a percutaneous catheter-based axial flow pump; Impella SmartAssist platform that includes optical sensor technology for improved pump positioning and the use of algorithms that enable improved native heart assessment during the weaning process; Impella Connect, a cloud-based technology that enables secure and remote viewing of the automated impella controller for physicians and hospital staffs; and OXY-1 System, a portable external respiratory assistance device. In addition, the company is developing Impella ECP, a pump for blood flow of greater than three liters per minute; Impella XR Sheath, a sheath that expands and recoils allowing small bore access and closure with Impella heart pumps; Impella BTR, a percutaneous micro heart pump with integrated motors and sensors; and preCARDIA, a catheter-mounted superior vena cava therapy system designed to rapidly treat acutely decompensated heart failure. Abiomed, Inc. sells its products through direct sales and clinical support personnel in the Germany, France, United States, Japan, Europe, Canada, Latin America, the Asia-Pacific, and the Middle East. The company was founded in 1981 and is headquartered in Danvers, Massachusetts."
city,Danvers
phone,978 646 1400
state,MA
country,United States
companyOfficers,[]
website,https://www.abiomed.com
maxAge,1
address1,22 Cherry Hill Drive
fax,978 777 8411
industry,Medical Devices
ebitdaMargins,0.26437
profitMargins,0.20598
grossMargins,0.81483
operatingCashflow,298134016
revenueGrowth,0.097
operatingMargins,0.23805
ebitda,279260992
targetLowPrice,235
recommendationKey,hold
grossProfits,843595000
freeCashflow,223637872
targetMedianPrice,330
currentPrice,264.01
earningsGrowth,
currentRatio,7.533
returnOnAssets,0.09941
numberOfAnalystOpinions,4
targetMeanPrice,330
debtToEquity,0.507
returnOnEquity,0.15303001
targetHighPrice,425
totalCash,844321024
totalDebt,0
totalRevenue,1056316992
totalCashPerShare,18.572
financialCurrency,USD
revenuePerShare,23.21
quickRatio,6.645
recommendationMean,2.7
exchange,NMS
shortName,"ABIOMED, Inc."
longName,"Abiomed, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
isEsgPopulated,False
gmtOffSetMilliseconds,-14400000
quoteType,EQUITY
symbol,ABMD
messageBoardId,finmb_247589
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,10.182
beta3Year,
enterpriseToEbitda,38.512
52WeekChange,-0.21728432
morningStarRiskRating,
forwardEps,5.55
revenueQuarterlyGrowth,
sharesOutstanding,45460900
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,33.713
sharesShort,1590230
sharesPercentSharesOut,0.035
fundFamily,
lastFiscalYearEnd,1648684800
heldPercentInstitutions,0.95403
netIncomeToCommon,217584000
trailingEps,4.7
lastDividendValue,
SandP52WeekChange,-0.13122803
priceToBook,7.831104
heldPercentInsiders,0.020060001
nextFiscalYearEnd,1711843200
yield,
mostRecentQuarter,1656547200
shortRatio,6.03
sharesShortPreviousMonthDate,1660521600
floatShares,44518934
beta,1.375549
enterpriseValue,10755023872
priceHint,2
threeYearAverageReturn,
lastSplitDate,970444800
lastSplitFactor,2:1
legalType,
lastDividendDate,
morningStarOverallRating,
earningsQuarterlyGrowth,
priceToSalesTrailing12Months,11.362246
dateShortInterest,1663200000
pegRatio,3.16
ytdReturn,
forwardPE,47.56937
lastCapGain,
shortPercentOfFloat,0.045100003
sharesShortPriorMonth,1550929
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,255.15
regularMarketOpen,261.49
twoHundredDayAverage,285.38004
trailingAnnualDividendYield,0
payoutRatio,0
volume24Hr,
regularMarketDayHigh,264.63
navPrice,
averageDailyVolume10Day,292880
regularMarketPreviousClose,255.15
fiftyDayAverage,270.9014
trailingAnnualDividendRate,0
open,261.49
toCurrency,
averageVolume10days,292880
expireDate,
algorithm,
dividendRate,
exDividendDate,
circulatingSupply,
startDate,
regularMarketDayLow,261.0008
currency,USD
trailingPE,56.172344
regularMarketVolume,237926
lastMarket,
maxSupply,
openInterest,
marketCap,12002132992
volumeAllCurrencies,
strikePrice,
averageVolume,265579
dayLow,261.0008
ask,310.02
askSize,900
volume,237926
fiftyTwoWeekHigh,379.3
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,219.85
bid,140.88
tradeable,False
dividendYield,
bidSize,900
dayHigh,264.63
coinMarketCapLink,
regularMarketPrice,264.01
preMarketPrice,
logo_url,https://logo.clearbit.com/abiomed.com
