,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Intangible Assets,39518000.0,31241000.0,31918000.0,31024000.0
Capital Surplus,870074000.0,853210000.0,840387000.0,815416000.0
Total Liab,170067000.0,159939000.0,145471000.0,150872000.0
Total Stockholder Equity,1503326000.0,1432938000.0,1384563000.0,1307522000.0
Deferred Long Term Liab,15068000.0,15378000.0,15712000.0,16104000.0
Other Current Liab,26362000.0,27831000.0,29813000.0,26743000.0
Total Assets,1673393000.0,1592877000.0,1530034000.0,1458394000.0
Common Stock,455000.0,455000.0,455000.0,454000.0
Retained Earnings,964512000.0,904187000.0,858435000.0,801482000.0
Other Liab,22291000.0,24565000.0,25380000.0,34215000.0
Good Will,76786000.0,77449000.0,78166000.0,79006000.0
Gains Losses Not Affecting Retained Earnings,-331715000.0,-324914000.0,-314714000.0,-309830000.0
Other Assets,158037000.0,19058000.0,18687000.0,21062000.0
Cash,132818000.0,144255000.0,241882000.0,175454000.0
Total Current Liabilities,138457000.0,126796000.0,114022000.0,113123000.0
Deferred Long Term Asset Charges,10552000.0,3680000.0,2975000.0,4958000.0
Other Stockholder Equity,-27160000.0,-20489000.0,-14556000.0,-12211000.0
Property Plant Equipment,202490000.0,205949000.0,202283000.0,203932000.0
Total Current Assets,976473000.0,885006000.0,871487000.0,729873000.0
Long Term Investments,220089000.0,374174000.0,327493000.0,393497000.0
Net Tangible Assets,1387022000.0,1324248000.0,1274479000.0,1197492000.0
Short Term Investments,625789000.0,524966000.0,408677000.0,347577000.0
Net Receivables,90608000.0,88952000.0,89568000.0,88645000.0
Long Term Debt,9319000.0,2131000.0,2767000.0,
Inventory,93981000.0,90199000.0,85986000.0,83661000.0
Accounts Payable,35346000.0,32066000.0,27621000.0,29807000.0
