,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Investments,-77683000.0,-173543000.0,7884000.0,-19064000.0
Change To Liabilities,4758000.0,4668000.0,-1428000.0,-5040000.0
Total Cashflows From Investing Activities,-92574000.0,-180021000.0,660000.0,-109055000.0
Total Cash From Financing Activities,4745000.0,-6161000.0,6684000.0,-7470000.0
Change To Operating Activities,9297000.0,17427000.0,-11156000.0,-24734000.0
Issuance Of Stock,4875000.0,440000.0,9223000.0,2120000.0
Net Income,60325000.0,45752000.0,56953000.0,-26525000.0
Change In Cash,-11437000.0,-97627000.0,66428000.0,-57256000.0
Repurchase Of Stock,-130000.0,-4267000.0,-2539000.0,-9590000.0
Effect Of Exchange Rate,-2580000.0,-1932000.0,-1488000.0,3910000.0
Total Cash From Operating Activities,78972000.0,90487000.0,60572000.0,55359000.0
Depreciation,7290000.0,6926000.0,6966000.0,6907000.0
Change To Inventory,-9754000.0,-7896000.0,-5903000.0,-5770000.0
Change To Account Receivables,-2327000.0,218000.0,-1319000.0,8763000.0
Change To Netincome,9383000.0,23392000.0,16459000.0,101758000.0
Capital Expenditures,-14891000.0,-6478000.0,-7224000.0,-7170000.0
Other Cashflows From Financing Activities,,-2334000.0,-2334000.0,-2334000.0
