,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Research Development,43785000.0,40869000.0,41041000.0,36837000.0
Effect Of Accounting Charges,,,,
Income Before Tax,74762000.0,57877000.0,67271000.0,-9350000.0
Minority Interest,,,,
Net Income,60325000.0,45752000.0,56953000.0,-26525000.0
Selling General Administrative,109605000.0,107618000.0,102779000.0,103484000.0
Gross Profit,218393000.0,213549000.0,204256000.0,207397000.0
Ebit,65003000.0,65062000.0,60436000.0,67076000.0
Operating Income,65003000.0,65062000.0,60436000.0,67076000.0
Other Operating Expenses,,,,
Interest Expense,-2918000.0,-2918000.0,-2918000.0,-2918000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,14437000.0,12125000.0,10318000.0,17175000.0
Total Revenue,269850000.0,261176000.0,248142000.0,252585000.0
Total Operating Expenses,204847000.0,196114000.0,187706000.0,185509000.0
Cost Of Revenue,51457000.0,47627000.0,43886000.0,45188000.0
Total Other Income Expense Net,34808000.0,-7185000.0,6835000.0,-76426000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,60325000.0,45752000.0,56953000.0,-26525000.0
Net Income Applicable To Common Shares,60325000.0,45752000.0,56953000.0,-26525000.0
