Attribute,Value
zip,60064-6400
sector,Healthcare
fullTimeEmployees,113000
longBusinessSummary,"Abbott Laboratories, together with its subsidiaries, discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The Established Pharmaceutical Products segment provides generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement therapy, dyslipidemia, hypertension, hypothyroidism, Ménière's disease and vestibular vertigo, pain, fever, inflammation, and migraine, as well as provides anti-infective clarithromycin, influenza vaccine, and products to regulate physiological rhythm of the colon. The Diagnostic Products segment offers laboratory systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion; molecular diagnostics systems that automate the extraction, purification, and preparation of DNA and RNA from patient samples, as well as detect and measure infectious agents; point of care systems; cartridges for testing blood; rapid diagnostics lateral flow testing products; molecular point-of-care testing for HIV, SARS-CoV-2, influenza A and B, RSV, and strep A; cardiometabolic test systems; drug and alcohol test, and remote patient monitoring and consumer self-test systems; and informatics and automation solutions for use in laboratories. The Nutritional Products segment provides pediatric and adult nutritional products. The Medical Devices segment offers rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases; and diabetes care products, as well as neuromodulation devices for the management of chronic pain and movement disorders. Abbott Laboratories was founded in 1888 and is based in North Chicago, Illinois."
city,North Chicago
phone,224 667 6100
state,IL
country,United States
companyOfficers,[]
website,https://www.abbott.com
maxAge,1
address1,100 Abbott Park Road
industry,Medical Devices
address2,Abbott Park
ebitdaMargins,0.30629
profitMargins,0.1878
grossMargins,0.57985
operatingCashflow,10243000320
revenueGrowth,0.101
operatingMargins,0.23219
ebitda,13950999552
targetLowPrice,95
recommendationKey,buy
grossProfits,25009000000
freeCashflow,7291624960
targetMedianPrice,126
currentPrice,103.08
earningsGrowth,0.727
currentRatio,2.014
returnOnAssets,0.08964
numberOfAnalystOpinions,18
targetMeanPrice,124.94
debtToEquity,45.868
returnOnEquity,0.24183
targetHighPrice,150
totalCash,9290000384
totalDebt,16840999936
totalRevenue,45547999232
totalCashPerShare,5.305
financialCurrency,USD
revenuePerShare,25.808
quickRatio,1.331
recommendationMean,2
exchange,NYQ
shortName,Abbott Laboratories
longName,Abbott Laboratories
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
isEsgPopulated,False
gmtOffSetMilliseconds,-14400000
quoteType,EQUITY
symbol,ABT
messageBoardId,finmb_247483
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,3.997
beta3Year,
enterpriseToEbitda,13.05
52WeekChange,-0.11511719
morningStarRiskRating,
forwardEps,4.67
revenueQuarterlyGrowth,
sharesOutstanding,1751219968
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,20.837
sharesShort,16028757
sharesPercentSharesOut,0.0092
fundFamily,
lastFiscalYearEnd,1640908800
heldPercentInstitutions,0.75681
netIncomeToCommon,8520000000
trailingEps,4.79
lastDividendValue,0.47
SandP52WeekChange,-0.13122803
priceToBook,4.9469695
heldPercentInsiders,0.00732
nextFiscalYearEnd,1703980800
yield,
mostRecentQuarter,1656547200
shortRatio,3.44
sharesShortPreviousMonthDate,1660521600
floatShares,1737192473
beta,0.712345
enterpriseValue,182058385408
priceHint,2
threeYearAverageReturn,
lastSplitDate,1357084800
lastSplitFactor,10000:4798
legalType,
lastDividendDate,1657756800
morningStarOverallRating,
earningsQuarterlyGrowth,0.697
priceToSalesTrailing12Months,3.9631982
dateShortInterest,1663200000
pegRatio,1.77
ytdReturn,
forwardPE,22.072805
lastCapGain,
shortPercentOfFloat,0.0094
sharesShortPriorMonth,14080258
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,99.52
regularMarketOpen,100.74
twoHundredDayAverage,115.70835
trailingAnnualDividendYield,0.01868971
payoutRatio,0.3841
volume24Hr,
regularMarketDayHigh,103.21
navPrice,
averageDailyVolume10Day,6007910
regularMarketPreviousClose,99.52
fiftyDayAverage,105.7116
trailingAnnualDividendRate,1.86
open,100.74
toCurrency,
averageVolume10days,6007910
expireDate,
algorithm,
dividendRate,1.88
exDividendDate,1665619200
circulatingSupply,
startDate,
regularMarketDayLow,100.54
currency,USD
trailingPE,21.519833
regularMarketVolume,5709637
lastMarket,
maxSupply,
openInterest,
marketCap,180515749888
volumeAllCurrencies,
strikePrice,
averageVolume,4730257
dayLow,100.54
ask,0
askSize,1200
volume,5709637
fiftyTwoWeekHigh,142.6
fromCurrency,
fiveYearAvgDividendYield,1.54
fiftyTwoWeekLow,96.67
bid,0
tradeable,False
dividendYield,0.0189
bidSize,800
dayHigh,103.21
coinMarketCapLink,
regularMarketPrice,103.08
preMarketPrice,
logo_url,https://logo.clearbit.com/abbott.com
