,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Intangible Assets,12739000000.0,14784000000.0,17025000000.0,18942000000.0
Total Liab,39172000000.0,39545000000.0,36586000000.0,36451000000.0
Total Stockholder Equity,35802000000.0,32784000000.0,31088000000.0,30524000000.0
Minority Interest,222000000.0,219000000.0,213000000.0,198000000.0
Other Current Liab,1234000000.0,1658000000.0,950000000.0,868000000.0
Total Assets,75196000000.0,72548000000.0,67887000000.0,67173000000.0
Common Stock,24470000000.0,24145000000.0,23853000000.0,23512000000.0
Other Current Assets,292000000.0,90000000.0,148000000.0,114000000.0
Retained Earnings,31528000000.0,27627000000.0,25847000000.0,24560000000.0
Other Liab,7815000000.0,8209000000.0,8307000000.0,8080000000.0
Good Will,23231000000.0,23744000000.0,23195000000.0,23254000000.0
Gains Losses Not Affecting Retained Earnings,-20196000000.0,-18988000000.0,-18612000000.0,-17548000000.0
Other Assets,4363000000.0,2784000000.0,2443000000.0,2192000000.0
Cash,9799000000.0,6838000000.0,3860000000.0,3844000000.0
Total Current Liabilities,13105000000.0,11907000000.0,10863000000.0,9012000000.0
Deferred Long Term Asset Charges,3972000000.0,2418000000.0,2097000000.0,1885000000.0
Short Long Term Debt,754000000.0,7000000.0,1277000000.0,7000000.0
Other Stockholder Equity,-8374000000.0,-8946000000.0,-8465000000.0,-7586000000.0
Property Plant Equipment,10112000000.0,10130000000.0,8972000000.0,7563000000.0
Total Current Assets,24239000000.0,20441000000.0,15667000000.0,14632000000.0
Long Term Investments,512000000.0,665000000.0,585000000.0,590000000.0
Net Tangible Assets,-168000000.0,-5744000000.0,-9132000000.0,-11672000000.0
Short Term Investments,450000000.0,310000000.0,280000000.0,242000000.0
Net Receivables,6487000000.0,6414000000.0,5425000000.0,5182000000.0
Long Term Debt,17296000000.0,18527000000.0,16661000000.0,19359000000.0
Inventory,5157000000.0,5012000000.0,4316000000.0,3796000000.0
Accounts Payable,4408000000.0,3946000000.0,3252000000.0,2975000000.0
