,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Total Stockholder Equity,35399000000.0,35802000000.0,35802000000.0,34422000000.0
Net Tangible Assets,-5000000.0,-168000000.0,-168000000.0,-2189000000.0
Intangible Assets,,12225000000.0,12739000000.0,13312000000.0
Total Liab,,38378000000.0,39172000000.0,39157000000.0
Minority Interest,,230000000.0,222000000.0,216000000.0
Other Current Liab,,1438000000.0,1234000000.0,1302000000.0
Total Assets,,74007000000.0,75196000000.0,73795000000.0
Common Stock,,24304000000.0,24470000000.0,24285000000.0
Other Current Assets,,353000000.0,292000000.0,238000000.0
Retained Earnings,,33295000000.0,31528000000.0,30376000000.0
Other Liab,,8611000000.0,7815000000.0,8844000000.0
Good Will,,23179000000.0,23231000000.0,23299000000.0
Gains Losses Not Affecting Retained Earnings,,-22200000000.0,-20196000000.0,-20239000000.0
Other Assets,,5860000000.0,4363000000.0,4302000000.0
Cash,,7675000000.0,9799000000.0,9302000000.0
Total Current Liabilities,,12647000000.0,13105000000.0,12867000000.0
Short Long Term Debt,,4000000.0,754000000.0,754000000.0
Other Stockholder Equity,,-8474000000.0,-8374000000.0,-9240000000.0
Property Plant Equipment,,8908000000.0,10112000000.0,8831000000.0
Total Current Assets,,23429000000.0,24239000000.0,23492000000.0
Long Term Investments,,406000000.0,512000000.0,559000000.0
Short Term Investments,,483000000.0,450000000.0,390000000.0
Net Receivables,,7179000000.0,6487000000.0,6405000000.0
Long Term Debt,,17120000000.0,17296000000.0,17446000000.0
Inventory,,5691000000.0,5157000000.0,5261000000.0
Accounts Payable,,4757000000.0,4408000000.0,4017000000.0
Deferred Long Term Asset Charges,,,3972000000.0,3920000000.0
