,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Net Income,2018000000.0,2447000000.0,1989000000.0,2100000000.0
Change To Liabilities,0.0,0.0,1288000000.0,0.0
Investments,,-41000000.0,-69000000.0,-108000000.0
Total Cashflows From Investing Activities,,-360000000.0,-671000000.0,-651000000.0
Net Borrowings,,-743000000.0,-196000000.0,-67000000.0
Total Cash From Financing Activities,,-3823000000.0,-1886000000.0,-1377000000.0
Change To Operating Activities,,-205000000.0,-172000000.0,-37000000.0
Issuance Of Stock,,59000000.0,82000000.0,70000000.0
Change In Cash,,-2124000000.0,497000000.0,644000000.0
Repurchase Of Stock,,-2307000000.0,-974000000.0,-579000000.0
Effect Of Exchange Rate,,-6000000.0,-13000000.0,-29000000.0
Total Cash From Operating Activities,,2065000000.0,3067000000.0,2701000000.0
Depreciation,,823000000.0,883000000.0,847000000.0
Other Cashflows From Investing Activities,,2000000.0,12000000.0,4000000.0
Dividends Paid,,-832000000.0,-798000000.0,-801000000.0
Change To Inventory,,-554000000.0,15000000.0,71000000.0
Change To Account Receivables,,-751000000.0,-189000000.0,-394000000.0
Change To Netincome,,305000000.0,161000000.0,114000000.0
Capital Expenditures,,-321000000.0,-614000000.0,-461000000.0
