,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Research Development,679000000.0,694000000.0,758000000.0,672000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,2352000000.0,2876000000.0,2327000000.0,2493000000.0
Minority Interest,,230000000.0,222000000.0,216000000.0
Net Income,2018000000.0,2447000000.0,1989000000.0,2100000000.0
Selling General Administrative,2750000000.0,2776000000.0,2953000000.0,2699000000.0
Gross Profit,6338000000.0,6935000000.0,7171000000.0,6505000000.0
Ebit,2402000000.0,2953000000.0,2946000000.0,2614000000.0
Operating Income,2402000000.0,2953000000.0,2946000000.0,2614000000.0
Other Operating Expenses,,,,
Interest Expense,-106000000.0,-117000000.0,-131000000.0,-133000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,334000000.0,429000000.0,338000000.0,393000000.0
Total Revenue,11257000000.0,11895000000.0,11468000000.0,10928000000.0
Total Operating Expenses,8855000000.0,8942000000.0,8522000000.0,8314000000.0
Cost Of Revenue,4919000000.0,4960000000.0,4297000000.0,4423000000.0
Total Other Income Expense Net,-50000000.0,-77000000.0,-619000000.0,-121000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,2018000000.0,2447000000.0,1989000000.0,2100000000.0
Net Income Applicable To Common Shares,2018000000.0,2447000000.0,1981000000.0,2092000000.0
