Attribute,Value
zip,D02 P820
sector,Technology
fullTimeEmployees,721000
longBusinessSummary,"Accenture plc, a professional services company, provides strategy and consulting, interactive, and technology and operations services worldwide. The company offers application services, including agile transformation, DevOps, application modernization, enterprise architecture, software and quality engineering, data management, intelligent automation comprises robotic process automation, natural language processing, and virtual agents, and liquid application management services, as well as program, project, and service management services; strategy consulting services; critical data elements, data management and governance, data platform and architecture, product-based organization and skills, business adoption, and value realization services; engineering, and research and development digitization; smart connected product design and development; product platform engineering and modernization; product as-a-service enablement; products related to production and operations; autonomous robotics systems; the digital transformation of capital projects; and digital industrial workforce solutions. It also provides data-enabled operating models; technology consulting and artificial intelligence services; services related to talent and organization/human potential; digital commerce; infrastructure services, such as hybrid cloud, network, digital workplace and collaboration, service and experience management, infrastructure as code, and managed edge and IoT devices; cyber defense, applied cybersecurity, managed security, OT security, security strategy and risk, and industry security products; services related to technology innovation; and intelligent automation services. In addition, the company offers cloud, ecosystem, marketing, supply chain management, zero-based budgeting, customer experience, finance consulting, mergers and acquisitions, and sustainability services. Accenture plc was founded in 1951 and is based in Dublin, Ireland."
city,Dublin
phone,353 1 646 2000
country,Ireland
companyOfficers,[]
website,https://www.accenture.com
maxAge,1
address1,1 Grand Canal Square
fax,353 1 646 2020
industry,Information Technology Services
address2,Grand Canal Harbour
ebitdaMargins,0.18597999
profitMargins,0.11165
grossMargins,0.31986
operatingCashflow,9541129216
revenueGrowth,0.149
operatingMargins,0.15208
ebitda,11455396864
targetLowPrice,316.56
recommendationKey,buy
grossProfits,19701539000
freeCashflow,8505998336
targetMedianPrice,316.56
currentPrice,274.31
earningsGrowth,0.184
currentRatio,1.233
returnOnAssets,0.12946999
numberOfAnalystOpinions,1
targetMeanPrice,316.56
debtToEquity,14.62
returnOnEquity,0.32625
targetHighPrice,316.56
totalCash,7893806080
totalDebt,3325755904
totalRevenue,61594304512
totalCashPerShare,12.49
financialCurrency,USD
revenuePerShare,97.342
quickRatio,1.123
recommendationMean,2
exchange,NYQ
shortName,Accenture plc
longName,Accenture plc
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
isEsgPopulated,False
gmtOffSetMilliseconds,-14400000
quoteType,EQUITY
symbol,ACN
messageBoardId,finmb_972190
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,2.654
beta3Year,
enterpriseToEbitda,14.271
52WeekChange,-0.15646237
morningStarRiskRating,
forwardEps,12.82
revenueQuarterlyGrowth,
sharesOutstanding,630000000
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,34.979
sharesShort,5530235
sharesPercentSharesOut,0.0088
fundFamily,
lastFiscalYearEnd,1661904000
heldPercentInstitutions,0.77258
netIncomeToCommon,6877169152
trailingEps,10.71
lastDividendValue,0.97
SandP52WeekChange,-0.13122803
priceToBook,7.842134
heldPercentInsiders,0.0012899999
nextFiscalYearEnd,1725062400
yield,
mostRecentQuarter,1661904000
shortRatio,3.07
sharesShortPreviousMonthDate,1660521600
floatShares,630824480
beta,1.21654
enterpriseValue,163482976256
priceHint,2
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
lastDividendDate,1657670400
morningStarOverallRating,
earningsQuarterlyGrowth,0.176
priceToSalesTrailing12Months,2.807965
dateShortInterest,1663200000
pegRatio,1.8
ytdReturn,
forwardPE,21.397036
lastCapGain,
shortPercentOfFloat,0.0088
sharesShortPriorMonth,4101600
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,264.89
regularMarketOpen,270.4
twoHundredDayAverage,313.1564
trailingAnnualDividendYield,0.015213862
payoutRatio,0.3623
volume24Hr,
regularMarketDayHigh,274.94
navPrice,
averageDailyVolume10Day,2722870
regularMarketPreviousClose,264.89
fiftyDayAverage,291.7538
trailingAnnualDividendRate,4.03
open,270.4
toCurrency,
averageVolume10days,2722870
expireDate,
algorithm,
dividendRate,4.48
exDividendDate,1665532800
circulatingSupply,
startDate,
regularMarketDayLow,269.92
currency,USD
trailingPE,25.61251
regularMarketVolume,2909162
lastMarket,
maxSupply,
openInterest,
marketCap,172954648576
volumeAllCurrencies,
strikePrice,
averageVolume,1985440
dayLow,269.92
ask,0
askSize,1100
volume,2909162
fiftyTwoWeekHigh,417.37
fromCurrency,
fiveYearAvgDividendYield,1.42
fiftyTwoWeekLow,254.27
bid,0
tradeable,False
dividendYield,0.0174
bidSize,1000
dayHigh,274.94
coinMarketCapLink,
regularMarketPrice,274.31
preMarketPrice,
logo_url,https://logo.clearbit.com/accenture.com
