Date,Dividends,Stock Splits
2005-10-13 00:00:00-04:00,0.3,0.0
2006-10-11 00:00:00-04:00,0.35,0.0
2007-10-10 00:00:00-04:00,0.42,0.0
2008-10-08 00:00:00-04:00,0.5,0.0
2009-10-14 00:00:00-04:00,0.75,0.0
2010-04-14 00:00:00-04:00,0.375,0.0
2010-10-13 00:00:00-04:00,0.45,0.0
2011-04-13 00:00:00-04:00,0.45,0.0
2011-10-12 00:00:00-04:00,0.675,0.0
2012-04-11 00:00:00-04:00,0.675,0.0
2012-10-10 00:00:00-04:00,0.81,0.0
2013-04-10 00:00:00-04:00,0.81,0.0
2013-10-09 00:00:00-04:00,0.93,0.0
2014-04-09 00:00:00-04:00,0.93,0.0
2014-10-15 00:00:00-04:00,1.02,0.0
2015-04-08 00:00:00-04:00,1.02,0.0
2015-10-14 00:00:00-04:00,1.1,0.0
2016-04-13 00:00:00-04:00,1.1,0.0
2016-10-19 00:00:00-04:00,1.21,0.0
2017-04-11 00:00:00-04:00,1.21,0.0
2017-10-18 00:00:00-04:00,1.33,0.0
2018-04-11 00:00:00-04:00,1.33,0.0
2018-10-17 00:00:00-04:00,1.46,0.0
2019-04-10 00:00:00-04:00,1.46,0.0
2019-10-16 00:00:00-04:00,0.8,0.0
2020-01-15 00:00:00-05:00,0.8,0.0
2020-04-15 00:00:00-04:00,0.8,0.0
2020-07-15 00:00:00-04:00,0.8,0.0
2020-10-09 00:00:00-04:00,0.88,0.0
2021-01-13 00:00:00-05:00,0.88,0.0
2021-04-14 00:00:00-04:00,0.88,0.0
2021-07-14 00:00:00-04:00,0.88,0.0
2021-10-13 00:00:00-04:00,0.97,0.0
2022-01-12 00:00:00-05:00,0.97,0.0
2022-04-13 00:00:00-04:00,0.97,0.0
2022-07-13 00:00:00-04:00,0.97,0.0
