,2021-08-31,2020-08-31,2019-08-31,2018-08-31
Capital Surplus,8617838000.0,7167227000.0,5804448000.0,4870764000.0
Total Liab,23078729000.0,19579420000.0,14962189000.0,13724495000.0
Total Stockholder Equity,19529454000.0,17000536000.0,14409008000.0,10364753000.0
Minority Interest,567660000.0,498637000.0,418683000.0,359835000.0
Deferred Long Term Liab,731445000.0,723168000.0,681492000.0,705124000.0
Other Current Liab,4662058000.0,4115725000.0,3617873000.0,3458892000.0
Total Assets,43175843000.0,37078593000.0,29789880000.0,24449083000.0
Common Stock,72000.0,72000.0,72000.0,72000.0
Other Current Assets,1765831000.0,1393225000.0,1225364000.0,1024639000.0
Retained Earnings,13988748000.0,12375533000.0,10421538000.0,7952413000.0
Other Liab,4619472000.0,4195194000.0,3884046000.0,3553068000.0
Good Will,11125861000.0,7709820000.0,6205550000.0,5383012000.0
Gains Losses Not Affecting Retained Earnings,-3077204000.0,-2542296000.0,-1817050000.0,-2458496000.0
Other Assets,7232321000.0,6565589000.0,6502250000.0,4000960000.0
Cash,8168174000.0,8415330000.0,6126853000.0,5061360000.0
Total Current Liabilities,15708867000.0,12662590000.0,11061896000.0,10151751000.0
Deferred Long Term Asset Charges,4007130000.0,4153146000.0,4349464000.0,2086807000.0
Short Long Term Debt,12080000.0,7820000.0,6411000.0,5337000.0
Other Stockholder Equity,331287000.0,23465000.0,-428674000.0,-341548000.0
Property Plant Equipment,4821624000.0,4728914000.0,1391166000.0,1264020000.0
Total Current Assets,19666511000.0,17749756000.0,15450601000.0,13585559000.0
Long Term Investments,329526000.0,324514000.0,240313000.0,215532000.0
Net Tangible Assets,8403593000.0,9290716000.0,8203458000.0,4981741000.0
Short Term Investments,4294000.0,94309000.0,3313000.0,3192000.0
Net Receivables,9728212000.0,7846892000.0,8095071000.0,7496368000.0
Long Term Debt,53473000.0,54052000.0,16247000.0,19676000.0
Accounts Payable,2274057000.0,1349874000.0,1646641000.0,1348802000.0
