,2022-05-31,2022-02-28,2021-11-30,2021-08-31
Capital Surplus,10534282000.0,10065790000.0,9097934000.0,8617838000.0
Total Liab,24083475000.0,23160858000.0,22736085000.0,23078729000.0
Total Stockholder Equity,21389094000.0,20560023000.0,20353199000.0,19529454000.0
Minority Interest,622629000.0,596956000.0,585459000.0,567660000.0
Deferred Long Term Liab,826042000.0,793800000.0,751939000.0,731445000.0
Other Current Liab,5237389000.0,5212073000.0,4580195000.0,4662058000.0
Total Assets,46095198000.0,44317837000.0,43674743000.0,43175843000.0
Common Stock,72000.0,72000.0,72000.0,72000.0
Other Current Assets,2080776000.0,2122107000.0,1857166000.0,1765831000.0
Retained Earnings,17177358000.0,16028399000.0,15110688000.0,13988748000.0
Other Liab,4774848000.0,4805065000.0,4774174000.0,4619472000.0
Good Will,12499443000.0,12427823000.0,12395904000.0,11125861000.0
Gains Losses Not Affecting Retained Earnings,-6322618000.0,-5534238000.0,-3855495000.0,-3077204000.0
Other Assets,7412398000.0,7462304000.0,7520343000.0,7232321000.0
Cash,6703568000.0,5466116000.0,5637117000.0,8168174000.0
Total Current Liabilities,16562592000.0,15540122000.0,15232007000.0,15708867000.0
Deferred Long Term Asset Charges,4013089000.0,4018121000.0,4036565000.0,4007130000.0
Short Long Term Debt,8768000.0,9092000.0,9089000.0,12080000.0
Other Stockholder Equity,-200216000.0,-236889000.0,224130000.0,331287000.0
Property Plant Equipment,4844114000.0,4905704000.0,4811130000.0,4821624000.0
Total Current Assets,21007740000.0,19185130000.0,18621652000.0,19666511000.0
Long Term Investments,331503000.0,336876000.0,325714000.0,329526000.0
Net Tangible Assets,8889651000.0,8132200000.0,7957295000.0,8403593000.0
Short Term Investments,4322000.0,6031000.0,6968000.0,4294000.0
Net Receivables,12219074000.0,11590876000.0,11120401000.0,9728212000.0
Long Term Debt,51546000.0,52152000.0,55884000.0,53473000.0
Accounts Payable,2384352000.0,2229221000.0,2210163000.0,2274057000.0
