,2022-05-31,2022-02-28,2021-11-30,2021-08-31
Change To Liabilities,202700000.0,734329000.0,-209246000.0,381099000.0
Total Cashflows From Investing Activities,-666954000.0,-272502000.0,-1912581000.0,-2851316000.0
Net Borrowings,-2653000.0,-5429000.0,-3448000.0,-6512000.0
Total Cash From Financing Activities,-1103439000.0,-2036715000.0,-1069460000.0,-1367785000.0
Change To Operating Activities,802185000.0,-906052000.0,-680273000.0,27235000.0
Issuance Of Stock,497974000.0,292747000.0,409130000.0,125179000.0
Net Income,1786075000.0,1634942000.0,1791024000.0,1416248000.0
Change In Cash,1237452000.0,-171001000.0,-2531057000.0,-1841206000.0
Repurchase Of Stock,-972171000.0,-1693354000.0,-845366000.0,-914648000.0
Effect Of Exchange Rate,-56810000.0,-17277000.0,-79887000.0,-58537000.0
Total Cash From Operating Activities,3064655000.0,2155493000.0,530871000.0,2436432000.0
Depreciation,262557000.0,269142000.0,241335000.0,215951000.0
Other Cashflows From Investing Activities,2936000.0,2430000.0,4031000.0,7965000.0
Dividends Paid,-615107000.0,-615926000.0,-612543000.0,-557325000.0
Change To Account Receivables,-794219000.0,-446150000.0,-1354195000.0,-159629000.0
Other Cashflows From Financing Activities,-11482000.0,-14753000.0,-17233000.0,-14479000.0
Change To Netincome,632072000.0,734526000.0,486048000.0,567269000.0
Capital Expenditures,-194616000.0,-164660000.0,-181671000.0,-236295000.0
Investments,,,,-61978000.0
