,2022-05-31,2022-02-28,2021-11-30,2021-08-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,2494624000.0,2050450000.0,2406132000.0,1917805000.0
Minority Interest,622629000.0,596956000.0,585459000.0,567660000.0
Net Income,1786075000.0,1634942000.0,1791024000.0,1416248000.0
Selling General Administrative,2711616000.0,2462379000.0,2482495000.0,2507527000.0
Gross Profit,5314734000.0,4523959000.0,4916789000.0,4466216000.0
Ebit,2603118000.0,2061580000.0,2434294000.0,1958689000.0
Operating Income,2603118000.0,2061580000.0,2434294000.0,1958689000.0
Other Operating Expenses,,,,
Interest Expense,-12050000.0,-11216000.0,-11183000.0,-12977000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,675308000.0,392921000.0,586402000.0,480382000.0
Total Revenue,16158803000.0,15046693000.0,14965153000.0,13419284000.0
Total Operating Expenses,13555685000.0,12985113000.0,12530859000.0,11460595000.0
Cost Of Revenue,10844069000.0,10522734000.0,10048364000.0,8953068000.0
Total Other Income Expense Net,-108494000.0,-11130000.0,-28162000.0,-40884000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1819316000.0,1657529000.0,1819730000.0,1437423000.0
Net Income Applicable To Common Shares,1786075000.0,1634942000.0,1791024000.0,1416248000.0
