Attribute,Value
exchange,SNP
shortName,S&P 500
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,INDEX
symbol,^GSPC
messageBoardId,finmb_INDEXGSPC
market,us_market
previousClose,3992.93
regularMarketOpen,3977.97
twoHundredDayAverage,4078.6772
trailingAnnualDividendYield,
payoutRatio,
volume24Hr,
regularMarketDayHigh,4008.97
navPrice,
averageDailyVolume10Day,4353627000
totalAssets,
regularMarketPreviousClose,3992.93
fiftyDayAverage,3792.263
trailingAnnualDividendRate,
open,3977.97
toCurrency,
averageVolume10days,4353627000
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,
circulatingSupply,
startDate,
regularMarketDayLow,3956.4
priceHint,2
currency,USD
regularMarketVolume,2615043000
lastMarket,
maxSupply,
openInterest,
marketCap,
volumeAllCurrencies,
strikePrice,
averageVolume,4365728593
priceToSalesTrailing12Months,
dayLow,3956.4
ask,4033.33
ytdReturn,
askSize,0
volume,2615043000
fiftyTwoWeekHigh,4818.62
forwardPE,
maxAge,1
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,3491.58
bid,3907.96
tradeable,False
dividendYield,
bidSize,0
dayHigh,4008.97
coinMarketCapLink,
regularMarketPrice,3957.25
preMarketPrice,
logo_url,https://logo.clearbit.com/S&P.com
trailingPegRatio,
