,1,2,3,4,5,6,7,8,9,10
0,LUV,ZION,VTRS,JCI,HIG,GM,MO,KMX,DVA,LVS
1,VTRS,LUV,ZION,HIG,MO,JCI,KMX,NEM,DVA,V
2,MCHP,AKAM,JCI,LUV,VTRS,ZION,HIG,KMX,TSCO,V
3,MCHP,AKAM,VTRS,JCI,TSCO,K,HIG,UHS,ZION,GM
4,MCHP,AKAM,VTRS,TJX,K,DVA,JCI,UHS,GM,TSCO
5,REG,VTRS,TJX,MCHP,UHS,DVA,BXP,ZION,TSCO,ANSS
6,REG,VTRS,UHS,TJX,ZION,BXP,KMX,HIG,LUV,MCHP
7,REG,VTRS,HIG,UHS,KMX,ZION,LUV,BXP,GM,NEM
8,REG,VTRS,HIG,ZION,GM,KMX,LUV,MO,ADI,K
9,REG,INTU,ZION,KMX,DRI,GM,HIG,UHS,VTRS,AKAM
10,KMX,VTRS,DRI,ZION,UHS,HIG,GM,INTU,REG,AKAM
11,KMX,TSCO,DRI,VTRS,AKAM,INTU,ZION,HIG,AES,UHS
12,KMX,TSCO,INTU,HIG,ZION,ADI,AKAM,IEX,AES,TJX
13,TSCO,IEX,ZION,KMX,HIG,INTU,PYPL,ADI,LUV,UHS
14,AKAM,IEX,KMX,TSCO,ZION,UHS,HIG,BXP,INTU,K
15,AKAM,BXP,K,DVA,REG,TSCO,ZION,VTRS,UHS,HIG
16,AKAM,TJX,TSCO,DVA,ZION,K,REG,KMX,ADI,BXP
17,AKAM,TJX,TSCO,ZION,REG,DVA,INTU,KMX,GM,K
18,ADI,ZION,INTU,TSCO,TJX,KMX,IEX,AKAM,DVA,REG
19,ZION,ADI,TSCO,INTU,IEX,REG,DVA,GM,KMX,HIG
20,ANSS,ADI,ZION,TSCO,KMX,VTRS,REG,IEX,HIG,AKAM
21,ANSS,KMX,TSCO,ADI,REG,VTRS,ZION,AKAM,JCI,TJX
22,ANSS,KMX,REG,TSCO,TJX,ADI,DRI,AKAM,ZION,MCHP
