,name,stock,start_time,end_time,days,成交量均值,成交金额均值,上周涨跌幅,涨跌幅均值,股价波动程度,开收盘价方差,未来一周的收益率
0,Global Payments Inc.,GPN,2017-01-02 00:00:00.000000000,2017-01-08 23:59:59.999999999,4,1683250.0,120520709.60025787,inf,0.014007069290880138,0.02307505729352331,5.476696483839081,0.04419083391194125
1,Global Payments Inc.,GPN,2017-01-09 00:00:00.000000000,2017-01-15 23:59:59.999999999,5,2030380.0,156779422.09701538,0.05602827716352055,-0.005138509096620904,0.01141544083899309,2.1484440225468866,0.01723712896377453
2,Global Payments Inc.,GPN,2017-01-16 00:00:00.000000000,2017-01-22 23:59:59.999999999,4,1604825.0,124336951.28822327,-0.025692545483104522,0.003331620230467891,0.007456460628697945,1.2117317941105952,-0.020738770459825837
3,Global Payments Inc.,GPN,2017-01-23 00:00:00.000000000,2017-01-29 23:59:59.999999999,5,1184480.0,90688247.7180481,0.013326480921871563,-0.002423799123155373,0.011186297240125424,1.2538869620566409,0.014979565753331665
4,Global Payments Inc.,GPN,2017-01-30 00:00:00.000000000,2017-02-05 23:59:59.999999999,5,1270560.0,96960170.24230957,-0.012118995615776864,0.002030644186984369,0.009494067191646409,0.6998253187918555,-0.0015272513447300393
5,Global Payments Inc.,GPN,2017-02-06 00:00:00.000000000,2017-02-12 23:59:59.999999999,5,1072240.0,82833196.94366455,0.010153220934921844,0.0007673406257973888,0.0041762948829717084,0.23763538678860585,-0.006626727934595915
6,Global Payments Inc.,GPN,2017-02-13 00:00:00.000000000,2017-02-19 23:59:59.999999999,5,969420.0,74590736.55715942,0.003836703128986944,-0.0006903801885343804,0.008406178364006398,0.7288144229583877,0.013085286741908826
7,Global Payments Inc.,GPN,2017-02-20 00:00:00.000000000,2017-02-26 23:59:59.999999999,4,1065375.0,82343115.27442932,-0.003451900942671902,0.00038048014743408777,0.004242355233718696,0.39089265499428993,0.020767580912285807
8,Global Payments Inc.,GPN,2017-02-27 00:00:00.000000000,2017-03-05 23:59:59.999999999,5,1827560.0,143116251.3710022,0.001521920589736351,0.0017772136508354818,0.010714442253647477,1.2534347307628648,-0.01823608375545509
9,Global Payments Inc.,GPN,2017-03-06 00:00:00.000000000,2017-03-12 23:59:59.999999999,5,1309320.0,103073715.58776855,0.008886068254177409,-0.0026680716621250507,0.008266977633385419,0.5945279727013386,0.01124582198601954
10,Global Payments Inc.,GPN,2017-03-13 00:00:00.000000000,2017-03-19 23:59:59.999999999,5,971740.0,75829538.82522583,-0.013340358310625253,0.0009037147008981306,0.0066299821790769915,0.45253964797303925,-0.02011725558179625
11,Global Payments Inc.,GPN,2017-03-20 00:00:00.000000000,2017-03-26 23:59:59.999999999,5,1008940.0,78057757.42858887,0.004518573504490653,-0.0024187165463662817,0.005934755762990278,0.692797466811332,0.028819007606674277
12,Global Payments Inc.,GPN,2017-03-27 00:00:00.000000000,2017-04-02 23:59:59.999999999,5,1361120.0,106507956.25579834,-0.012093582731831408,0.006554028159428034,0.015048477696565024,2.5468857101151543,-0.03408509456047167
13,Global Payments Inc.,GPN,2017-04-03 00:00:00.000000000,2017-04-09 23:59:59.999999999,5,976560.0,75266745.11947632,0.03277014079714017,-0.0035295239146664534,0.007941862378012624,1.9057233258670525,-0.0050045336804987175
14,Global Payments Inc.,GPN,2017-04-10 00:00:00.000000000,2017-04-16 23:59:59.999999999,4,862775.0,65759575.97332001,-0.017647619573332267,0.00012908604674507804,0.001138797163863789,0.08415577948455912,0.04281642653132093
15,Global Payments Inc.,GPN,2017-04-17 00:00:00.000000000,2017-04-23 23:59:59.999999999,5,1097340.0,86353253.78128052,0.0005163441869803122,0.00580297082764868,0.014465807814413235,2.8520822460041653,0.01113047519460904
16,Global Payments Inc.,GPN,2017-04-24 00:00:00.000000000,2017-04-30 23:59:59.999999999,5,1245520.0,100018390.58731079,0.0290148541382434,0.0009091902932956231,0.0035118734643997127,0.12447328723089601,0.05271515161644566
17,Global Payments Inc.,GPN,2017-05-01 00:00:00.000000000,2017-05-07 23:59:59.999999999,5,1733800.0,143068005.7461548,0.004545951466478115,0.011214760779803708,0.03078879122097172,11.693451518554987,0.019403005674349886
18,Global Payments Inc.,GPN,2017-05-08 00:00:00.000000000,2017-05-14 23:59:59.999999999,5,1144660.0,98366576.11740112,0.056073803899018546,0.002773309322401134,0.0073986245822457875,0.8376507975632985,0.026213850231372855
19,Global Payments Inc.,GPN,2017-05-15 00:00:00.000000000,2017-05-21 23:59:59.999999999,5,1113160.0,97451925.06378174,0.013866546612005669,0.0013417198928811671,0.008256703946679761,1.2890550903271043,0.020101971031203817
20,Global Payments Inc.,GPN,2017-05-22 00:00:00.000000000,2017-05-28 23:59:59.999999999,5,1114320.0,100608588.13156128,0.006708599464405836,0.0002616109982928803,0.005690433463257085,1.2634111532338335,0.005879403297159181
21,Global Payments Inc.,GPN,2017-05-29 00:00:00.000000000,2017-06-04 23:59:59.999999999,4,1185850.0,107584440.47203064,0.0013080549914644014,0.0011143831930071932,0.007921767477243715,0.9391660355769713,-0.03547411045594792
22,Global Payments Inc.,GPN,2017-06-05 00:00:00.000000000,2017-06-11 23:59:59.999999999,5,1267240.0,113413287.97973633,0.004457532772028773,-0.005685673171903226,0.01429792765936546,1.9888364629543231,0.005050372598393831
23,Global Payments Inc.,GPN,2017-06-12 00:00:00.000000000,2017-06-18 23:59:59.999999999,5,1003280.0,88757348.9263916,-0.02842836585951613,0.00011171928344223072,0.006322357721301133,1.089656408895518,0.01909575932595288
24,Global Payments Inc.,GPN,2017-06-19 00:00:00.000000000,2017-06-25 23:59:59.999999999,5,849780.0,75333199.00924683,0.0005585964172111536,0.003364921731935393,0.009318219475801404,1.0451559230476648,-0.010300442035684743
25,Global Payments Inc.,GPN,2017-06-26 00:00:00.000000000,2017-07-02 23:59:59.999999999,5,802120.0,71464996.56051636,0.016824608659676964,0.00015507276670012756,0.008567948767450064,0.9549300658168798,-0.0147253123548501
26,Global Payments Inc.,GPN,2017-07-03 00:00:00.000000000,2017-07-09 23:59:59.999999999,4,812850.0,71283509.15527344,0.0007753638335006378,-0.002942780461361906,0.00862955052826738,1.3997533160977147,0.032250762047113885
27,Global Payments Inc.,GPN,2017-07-10 00:00:00.000000000,2017-07-16 23:59:59.999999999,5,964000.0,84955256.62994385,-0.011771121845447624,0.007241953499328556,0.016319898045117062,3.3004283171265683,0.020901386887524506
28,Global Payments Inc.,GPN,2017-07-17 00:00:00.000000000,2017-07-23 23:59:59.999999999,5,1058400.0,96297870.89431763,0.03620976749664278,0.005275273223057151,0.011752483736183223,2.0930855573801255,0.007890913934287315
29,Global Payments Inc.,GPN,2017-07-24 00:00:00.000000000,2017-07-30 23:59:59.999999999,5,745740.0,69514691.70089722,0.026376366115285755,-0.0005906673091152913,0.0033022587049528246,0.5489994770866227,0.033854988198887645
30,Global Payments Inc.,GPN,2017-07-31 00:00:00.000000000,2017-08-06 23:59:59.999999999,5,1473000.0,138833294.70428467,-0.0029533365455764564,0.007099637667151003,0.013069631722560046,1.7392659301866351,-0.0451287958531113
31,Global Payments Inc.,GPN,2017-08-07 00:00:00.000000000,2017-08-13 23:59:59.999999999,5,1381640.0,129780090.24856567,0.035498188335755014,-0.00713103059517627,0.018229663884436295,5.182215836977159,0.004822757344621487
32,Global Payments Inc.,GPN,2017-08-14 00:00:00.000000000,2017-08-20 23:59:59.999999999,5,775580.0,71802560.30273436,-0.03565515297588135,-0.00152412485577703,0.004510123542656084,0.27655984213036383,-0.004373036869430207
33,Global Payments Inc.,GPN,2017-08-21 00:00:00.000000000,2017-08-27 23:59:59.999999999,5,646820.0,60075652.60620117,-0.00762062427888515,-0.0025801209605625093,0.009479637985260757,1.1888659614133796,0.02324581333028187
34,Global Payments Inc.,GPN,2017-08-28 00:00:00.000000000,2017-09-03 23:59:59.999999999,5,540680.0,50310131.00753784,-0.012900604802812547,0.003515468353515439,0.00838251361576473,1.6772033380832048,-0.004501575417297085
35,Global Payments Inc.,GPN,2017-09-04 00:00:00.000000000,2017-09-10 23:59:59.999999999,4,745875.0,69758998.86550903,0.017577341767577196,0.0006325884629418072,0.005884751147609859,0.48535796272807963,0.02608072352205925
36,Global Payments Inc.,GPN,2017-09-11 00:00:00.000000000,2017-09-17 23:59:59.999999999,5,1082120.0,103540852.09823608,0.0025303538517672287,0.0022176567852970246,0.006067136663679928,1.0613404654700844,-0.017835160344583954
37,Global Payments Inc.,GPN,2017-09-18 00:00:00.000000000,2017-09-24 23:59:59.999999999,5,900020.0,85089442.87231445,0.011088283926485122,-0.0024125972319005385,0.005537414872828946,0.9508959001572531,-0.008244714633637518
38,Global Payments Inc.,GPN,2017-09-25 00:00:00.000000000,2017-10-01 23:59:59.999999999,5,1226100.0,113702970.55999756,-0.012062986159502694,0.0017622247461160866,0.004294517389684837,0.6125537384384112,0.02020412992545557
39,Global Payments Inc.,GPN,2017-10-02 00:00:00.000000000,2017-10-08 23:59:59.999999999,5,922100.0,87493296.09710693,0.008811123730580434,0.0017060113977413517,0.0033175696589978505,0.47084144255834004,0.02774653906861637
40,Global Payments Inc.,GPN,2017-10-09 00:00:00.000000000,2017-10-15 23:59:59.999999999,5,964080.0,93607525.81451416,0.008530056988706758,0.0030362119635191135,0.005783414334501998,1.144498206794301,-0.024789356763378134
41,Global Payments Inc.,GPN,2017-10-16 00:00:00.000000000,2017-10-22 23:59:59.999999999,5,889620.0,85242529.98565674,0.015181059817595568,-0.004368831823979004,0.010715252974264362,3.3013746647003255,0.0452814664100799
42,Global Payments Inc.,GPN,2017-10-23 00:00:00.000000000,2017-10-29 23:59:59.999999999,5,1122640.0,109875265.50888062,-0.02184415911989502,0.008476986531081279,0.017652302353954246,4.992514734708383,0.02008447514687025
43,Global Payments Inc.,GPN,2017-10-30 00:00:00.000000000,2017-11-05 23:59:59.999999999,5,1060900.0,107573725.75256348,0.042384932655406396,0.0033961380626709387,0.008067214634095442,2.1298691732519375,-0.04594122284073271
44,Global Payments Inc.,GPN,2017-11-06 00:00:00.000000000,2017-11-12 23:59:59.999999999,5,1507700.0,150307778.15093994,0.016980690313354693,-0.010396025747003766,0.024696240233257758,10.493473257247146,0.011937142696500924
45,Global Payments Inc.,GPN,2017-11-13 00:00:00.000000000,2017-11-19 23:59:59.999999999,5,1011040.0,99453074.24713135,-0.05198012873501883,0.0008634394082817256,0.007590116455332299,1.4560050774513136,0.03438965495807789
46,Global Payments Inc.,GPN,2017-11-20 00:00:00.000000000,2017-11-26 23:59:59.999999999,4,659700.0,66448179.839897156,0.004317197041408628,0.005911154634352298,0.010468433402562457,2.4882041720575074,-0.026287858396117452
