,name,stock,start_time,end_time,days,成交量均值,成交金额均值,上周涨跌幅,涨跌幅均值,股价波动程度,开收盘价方差,未来一周的收益率
0,Johnson Controls International ,JCI,2017-01-02 00:00:00.000000000,2017-01-08 23:59:59.999999999,4,6438875.0,236291409.726429,inf,0.0021210809959042415,0.008303651892040955,0.21423786785078658,0.020331655073034676
1,Johnson Controls International ,JCI,2017-01-09 00:00:00.000000000,2017-01-15 23:59:59.999999999,5,7816960.0,295646168.7211609,0.008484323983616966,0.004976548325564422,0.012871195202953576,0.5630909157154653,-0.017407114428066747
2,Johnson Controls International ,JCI,2017-01-16 00:00:00.000000000,2017-01-22 23:59:59.999999999,4,4467525.0,166131712.72716522,0.024882741627822107,-0.0012178172058829246,0.0029075165814058945,0.04363615352620332,0.0193471947364363
3,Johnson Controls International ,JCI,2017-01-23 00:00:00.000000000,2017-01-29 23:59:59.999999999,5,4925880.0,186983636.13998413,-0.004871268823531698,0.002266383377244146,0.009597308378747782,0.5771645771895269,-0.02446819078720118
4,Johnson Controls International ,JCI,2017-01-30 00:00:00.000000000,2017-02-05 23:59:59.999999999,5,7578080.0,281802271.15509033,0.01133191688622073,-0.0050719848633439795,0.017996610553726925,0.7543945375232894,-0.018987510586351352
5,Johnson Controls International ,JCI,2017-02-06 00:00:00.000000000,2017-02-12 23:59:59.999999999,5,6870840.0,246737008.25958252,-0.025359924316719896,-0.0021276992828325146,0.012644676241631908,0.6177759412089434,0.0014338452608440354
6,Johnson Controls International ,JCI,2017-02-13 00:00:00.000000000,2017-02-19 23:59:59.999999999,5,6196420.0,223393953.4928131,-0.010638496414162573,0.0007664503564517715,0.003735318262587875,0.06323329170902638,-0.0021473727411201607
7,Johnson Controls International ,JCI,2017-02-20 00:00:00.000000000,2017-02-26 23:59:59.999999999,4,5266325.0,191652922.9888916,0.0038322517822588576,-0.004750191676397383,0.01161837896636233,0.3416208559345385,0.005738861248702526
8,Johnson Controls International ,JCI,2017-02-27 00:00:00.000000000,2017-03-05 23:59:59.999999999,5,4411340.0,161082549.54803467,-0.019000766705589534,-0.0008521970594502985,0.006663790832554569,0.13755238802153813,-0.019733899897313424
9,Johnson Controls International ,JCI,2017-03-06 00:00:00.000000000,2017-03-12 23:59:59.999999999,5,4513180.0,161084721.0294342,-0.004260985297251493,-0.002538346081917344,0.008564996311120109,0.13672586839295225,0.017948163086429405
10,Johnson Controls International ,JCI,2017-03-13 00:00:00.000000000,2017-03-19 23:59:59.999999999,5,5191120.0,186879620.9414673,-0.01269173040958672,0.0035402312814503227,0.011415888303732333,0.43056785200852077,-0.01198481060916132
11,Johnson Controls International ,JCI,2017-03-20 00:00:00.000000000,2017-03-26 23:59:59.999999999,5,5306860.0,192110504.26208496,0.017701156407251614,-0.004968160634932883,0.009970586597073871,0.26073292847739904,0.021834275706428846
12,Johnson Controls International ,JCI,2017-03-27 00:00:00.000000000,2017-04-02 23:59:59.999999999,5,3609820.0,131628966.85417175,-0.024840803174664416,0.003675008068991066,0.008790947992570169,0.36606434792053916,-0.02682808021133206
13,Johnson Controls International ,JCI,2017-04-03 00:00:00.000000000,2017-04-09 23:59:59.999999999,5,3947480.0,141280321.4378357,0.01837504034495533,-0.000874418747292559,0.0033279754486999704,0.18095645522807852,-0.00951457486128678
14,Johnson Controls International ,JCI,2017-04-10 00:00:00.000000000,2017-04-16 23:59:59.999999999,4,3360475.0,119878819.05994415,-0.004372093736462795,-0.0031614894111307345,0.0067067892067748675,0.07384458257955472,0.03546802008356397
15,Johnson Controls International ,JCI,2017-04-17 00:00:00.000000000,2017-04-23 23:59:59.999999999,5,3729340.0,134606143.75167847,-0.012645957644522938,0.004623950593416311,0.009203489858039749,0.2799399687203979,-0.0111796684913258
16,Johnson Controls International ,JCI,2017-04-24 00:00:00.000000000,2017-04-30 23:59:59.999999999,5,5844880.0,216137588.92341614,0.023119752967081554,-0.006245638713086565,0.016232222028232508,0.5624898556918114,0.009622168605780777
17,Johnson Controls International ,JCI,2017-05-01 00:00:00.000000000,2017-05-07 23:59:59.999999999,5,4409880.0,159568276.73088074,-0.031228193565432827,0.0022163008212511405,0.005120267571074676,0.05658129542876336,0.0016678496313485118
18,Johnson Controls International ,JCI,2017-05-08 00:00:00.000000000,2017-05-14 23:59:59.999999999,5,3735220.0,136823279.72434998,0.011081504106255703,9.519228863166065e-05,0.004569567641821696,0.03811507968399327,0.013320684607918016
19,Johnson Controls International ,JCI,2017-05-15 00:00:00.000000000,2017-05-21 23:59:59.999999999,5,5576800.0,204445371.5523529,0.00047596144315830325,0.000706730932583888,0.01224110511646527,0.35066688654854394,-0.013380111306768298
20,Johnson Controls International ,JCI,2017-05-22 00:00:00.000000000,2017-05-28 23:59:59.999999999,5,3400680.0,124739983.64089966,0.0035336546629194396,-0.0028611485185324557,0.006485351567411121,0.17488403409331144,0.005234120499300466
21,Johnson Controls International ,JCI,2017-05-29 00:00:00.000000000,2017-06-04 23:59:59.999999999,4,3658075.0,133751355.64222336,-0.014305742592662278,0.0016079267436219969,0.005241402324567664,0.045819886474808696,-0.004260437573990263
22,Johnson Controls International ,JCI,2017-06-05 00:00:00.000000000,2017-06-11 23:59:59.999999999,5,5428360.0,196261830.00663757,0.006431706974487987,0.00014269964706756892,0.01092488032221225,0.29931347500878414,-0.004991551876604476
23,Johnson Controls International ,JCI,2017-06-12 00:00:00.000000000,2017-06-18 23:59:59.999999999,5,5205840.0,189241571.27182007,0.0007134982353378446,0.0018808255148843628,0.004625351849530754,0.08129212412880782,-0.0009554566387322411
24,Johnson Controls International ,JCI,2017-06-19 00:00:00.000000000,2017-06-25 23:59:59.999999999,5,6994000.0,255084615.05500793,0.009404127574421814,-0.0033849917467252016,0.009488350366755915,0.20771745517517543,0.04305973116588189
25,Johnson Controls International ,JCI,2017-06-26 00:00:00.000000000,2017-07-02 23:59:59.999999999,5,5276560.0,197169503.7309265,-0.016924958733626008,0.004963374700110691,0.011321357531376015,0.3420274428187272,-0.004612386841094414
