,name,stock,start_time,end_time,days,成交量均值,成交金额均值,上周涨跌幅,涨跌幅均值,股价波动程度,开收盘价方差,未来一周的收益率
0,DBA Sempra,SRE,2017-01-02 00:00:00.000000000,2017-01-08 23:59:59.999999999,4,1361250.0,115640731.77280426,inf,0.004425064628709534,0.007278436268710922,0.5162967426434868,-0.011174152940739238
1,DBA Sempra,SRE,2017-01-09 00:00:00.000000000,2017-01-15 23:59:59.999999999,5,969280.0,82166166.18530273,0.017700258514838137,0.0007692992985864227,0.004118652288097172,0.6014092125616959,0.006583627717342437
2,DBA Sempra,SRE,2017-01-16 00:00:00.000000000,2017-01-22 23:59:59.999999999,4,829300.0,71212293.76621246,0.0038464964929321136,-0.0023211537054076224,0.00774405851984203,0.9399505291398362,-0.009761631079145327
3,DBA Sempra,SRE,2017-01-23 00:00:00.000000000,2017-01-29 23:59:59.999999999,5,974300.0,83116290.49758911,-0.00928461482163049,-0.0014872693092246225,0.004733420964617121,0.19932076157075562,0.01330841302248917
4,DBA Sempra,SRE,2017-01-30 00:00:00.000000000,2017-02-05 23:59:59.999999999,5,797800.0,67767723.78997803,-0.007436346546123113,0.003907979459259879,0.008515687796551144,0.9088996567491786,0.015176445755937485
5,DBA Sempra,SRE,2017-02-06 00:00:00.000000000,2017-02-12 23:59:59.999999999,5,634860.0,54832747.85675049,0.019539897296299395,0.003411255042147254,0.008310264882267637,0.8635731668320832,0.014374827464888777
6,DBA Sempra,SRE,2017-02-13 00:00:00.000000000,2017-02-19 23:59:59.999999999,5,672320.0,58954925.45669556,0.01705627521073627,0.0013122873791713275,0.007379559792941217,1.004847582909345,0.030609128292367196
7,DBA Sempra,SRE,2017-02-20 00:00:00.000000000,2017-02-26 23:59:59.999999999,4,854675.0,76943683.2605362,0.0065614368958566375,0.006127812848265179,0.011147414813059057,2.0001806324818925,0.0012836507453319293
8,DBA Sempra,SRE,2017-02-27 00:00:00.000000000,2017-03-05 23:59:59.999999999,5,1208720.0,110563400.5897522,0.024511251393060717,0.0007720040020617497,0.005097898517014281,0.31715440930962524,0.0015560323270030335
9,DBA Sempra,SRE,2017-03-06 00:00:00.000000000,2017-03-12 23:59:59.999999999,5,916640.0,83614889.98855591,0.0038600200103087487,-0.0009823746705712173,0.009551937193911474,0.9155573165566758,0.012431511799242402
10,DBA Sempra,SRE,2017-03-13 00:00:00.000000000,2017-03-19 23:59:59.999999999,5,847880.0,78043353.79104614,-0.004911873352856087,0.0018221569118191485,0.0073854661901793135,1.0913854111719195,0.0230663219752663
11,DBA Sempra,SRE,2017-03-20 00:00:00.000000000,2017-03-26 23:59:59.999999999,5,984920.0,92163591.90612793,0.009110784559095742,0.0052990778074714934,0.009879371457334082,1.6488660994692057,-0.017515883060875974
12,DBA Sempra,SRE,2017-03-27 00:00:00.000000000,2017-04-02 23:59:59.999999999,5,905300.0,84447090.546875,0.026495389037357465,-0.001971308750367277,0.006872810627667113,0.9121780048235548,-0.007420851389075311
13,DBA Sempra,SRE,2017-04-03 00:00:00.000000000,2017-04-09 23:59:59.999999999,5,1482800.0,136670919.5628357,-0.009856543751836385,-0.00032771719428115306,0.003167662241437694,0.2652661969189708,0.016593856810733863
14,DBA Sempra,SRE,2017-04-10 00:00:00.000000000,2017-04-16 23:59:59.999999999,4,958325.0,89382610.29529572,-0.0016385859714057654,0.0019204985662543634,0.0048015724628727085,0.5611553609000486,0.009147987001360523
15,DBA Sempra,SRE,2017-04-17 00:00:00.000000000,2017-04-23 23:59:59.999999999,5,1535860.0,144752511.1253357,0.0076819942650174534,0.0004632186031127918,0.0037095893658252144,0.2736098121273931,0.004443577702393613
16,DBA Sempra,SRE,2017-04-24 00:00:00.000000000,2017-04-30 23:59:59.999999999,5,1099680.0,104614525.56640625,0.002316093015563959,-0.0004942545394845696,0.002322994473482342,0.08344785161885487,-0.007697620228555521
17,DBA Sempra,SRE,2017-05-01 00:00:00.000000000,2017-05-07 23:59:59.999999999,5,910100.0,85471828.9100647,-0.002471272697422848,0.0006441187723168,0.0033598581252200685,0.5200158918252535,-0.0048150584604106485
18,DBA Sempra,SRE,2017-05-08 00:00:00.000000000,2017-05-14 23:59:59.999999999,5,1036200.0,97170907.83981323,0.003220593861584,-0.0005896237896768558,0.001868650191733712,0.11236343415581537,-0.0009855577662088802
19,DBA Sempra,SRE,2017-05-15 00:00:00.000000000,2017-05-21 23:59:59.999999999,5,1628140.0,151879952.28393555,-0.0029481189483842787,-0.0008217079116034993,0.0055771947373575385,0.5885388822999635,0.026726484605129604
20,DBA Sempra,SRE,2017-05-22 00:00:00.000000000,2017-05-28 23:59:59.999999999,5,1159960.0,110631245.04089355,-0.004108539558017496,0.002852871121411098,0.0064751325546809416,1.225279320406701,0.026380014829664344
21,DBA Sempra,SRE,2017-05-29 00:00:00.000000000,2017-06-04 23:59:59.999999999,4,1306150.0,127791826.05743408,0.01426435560705549,0.003977145030785151,0.006925073233006037,1.8067413115668711,-0.021276617124934644
22,DBA Sempra,SRE,2017-06-05 00:00:00.000000000,2017-06-11 23:59:59.999999999,5,2162300.0,210772381.8045044,0.015908580123140604,-0.004138642065113551,0.009882862039383702,1.6522681584356815,0.012086986306833426
23,DBA Sempra,SRE,2017-06-12 00:00:00.000000000,2017-06-18 23:59:59.999999999,5,1598880.0,154450915.8154297,-0.020693210325567757,0.002929138868296037,0.007100477081497326,0.652708949844888,-0.03075867443156754
24,DBA Sempra,SRE,2017-06-19 00:00:00.000000000,2017-06-25 23:59:59.999999999,5,1172280.0,112398099.32952881,0.014645694341480185,-0.005466490425438691,0.012035584635495127,2.733867319129042,-0.0005316975983594776
25,DBA Sempra,SRE,2017-06-26 00:00:00.000000000,2017-07-02 23:59:59.999999999,5,1374420.0,130970702.4407959,-0.027332452127193457,-0.00226234109216134,0.004690704689735661,0.562034014234587,-0.012444669280384617
26,DBA Sempra,SRE,2017-07-03 00:00:00.000000000,2017-07-09 23:59:59.999999999,4,724125.0,67980637.72964478,-0.0113117054608067,-0.0018566973723754844,0.003179861311500244,0.3635444447790215,0.01465654967061468
27,DBA Sempra,SRE,2017-07-10 00:00:00.000000000,2017-07-16 23:59:59.999999999,5,977280.0,92089707.98202515,-0.007426789489501938,0.0024916078082565184,0.005103306765733722,0.4690323027292753,0.024788442714570345
28,DBA Sempra,SRE,2017-07-17 00:00:00.000000000,2017-07-23 23:59:59.999999999,5,759780.0,72803746.46789551,0.012458039041282593,0.005177212872332934,0.010963033668754086,1.5314201139838193,-0.0164449871551607
29,DBA Sempra,SRE,2017-07-24 00:00:00.000000000,2017-07-30 23:59:59.999999999,5,855240.0,81872266.70379639,0.02588606436166467,-0.0005118190698585775,0.0020971550071333784,0.5829574339844785,0.0367129293352896
30,DBA Sempra,SRE,2017-07-31 00:00:00.000000000,2017-08-06 23:59:59.999999999,5,1161840.0,112979188.74450684,-0.0025590953492928875,0.007397586866534087,0.013705685732797674,3.0820167861986714,-0.013482480115326436
31,DBA Sempra,SRE,2017-08-07 00:00:00.000000000,2017-08-13 23:59:59.999999999,5,902340.0,89056314.4758606,0.03698793433267043,-0.0025785735631084954,0.0065750452376009,0.6571890905638936,0.008130965766546459
32,DBA Sempra,SRE,2017-08-14 00:00:00.000000000,2017-08-20 23:59:59.999999999,5,857860.0,84581906.44515991,-0.012892867815542476,0.00020614986666314376,0.003869441052428597,0.5263753738757994,0.021278284413420005
33,DBA Sempra,SRE,2017-08-21 00:00:00.000000000,2017-08-27 23:59:59.999999999,5,1197920.0,120248671.13967896,0.0010307493333157189,0.001064191649833629,0.003024739128893051,0.614594473686667,-0.009157353506809351
34,DBA Sempra,SRE,2017-08-28 00:00:00.000000000,2017-09-03 23:59:59.999999999,5,659260.0,66024593.169555664,0.005320958249168146,-0.0021306962029385163,0.005386948184251382,0.6146861869542288,0.010344391589027098
35,DBA Sempra,SRE,2017-09-04 00:00:00.000000000,2017-09-10 23:59:59.999999999,4,798700.0,79901989.18800354,-0.010653481014692582,0.0032302371998157533,0.008200917265850914,0.974918318716303,0.001090892005096277
36,DBA Sempra,SRE,2017-09-11 00:00:00.000000000,2017-09-17 23:59:59.999999999,5,1208340.0,121682369.60220337,0.012920948799263013,-0.0012826616667647903,0.006542422815939064,0.9446711379622137,-0.021172802766204687
37,DBA Sempra,SRE,2017-09-18 00:00:00.000000000,2017-09-24 23:59:59.999999999,5,1181180.0,116960606.54449463,-0.0064133083338239515,-0.001522520653114419,0.004385787549928431,0.7794595493060382,-0.0156117082986352
38,DBA Sempra,SRE,2017-09-25 00:00:00.000000000,2017-10-01 23:59:59.999999999,5,951860.0,93550340.7522583,-0.007612603265572095,-0.004705703575356162,0.010572495676495328,2.0888461374518634,-0.019100859547700105
39,DBA Sempra,SRE,2017-10-02 00:00:00.000000000,2017-10-08 23:59:59.999999999,5,1351860.0,130192343.54537964,-0.02352851787678081,-0.003562035792364856,0.010660389028886776,2.0206485487580235,0.026082972119387923
40,DBA Sempra,SRE,2017-10-09 00:00:00.000000000,2017-10-15 23:59:59.999999999,5,1313120.0,128082198.5623169,-0.01781017896182428,0.003977603486586859,0.011068661049888342,3.067298571247198,-0.006442135189604301
41,DBA Sempra,SRE,2017-10-16 00:00:00.000000000,2017-10-22 23:59:59.999999999,5,1210740.0,117624416.19110107,0.019888017432934293,-0.0005766771283837898,0.004664510484480277,0.4242082821923093,0.013230580639837576
42,DBA Sempra,SRE,2017-10-23 00:00:00.000000000,2017-10-29 23:59:59.999999999,5,1351760.0,132270846.38366699,-0.002883385641918949,0.002114813197707363,0.004694851552588287,0.32327741704803054,0.02888289597221514
