,name,stock,start_time,end_time,days,成交量均值,成交金额均值,上周涨跌幅,涨跌幅均值,股价波动程度,开收盘价方差,未来一周的收益率
0,"Universal Health Services, Inc.",UHS,2017-01-02 00:00:00.000000000,2017-01-08 23:59:59.999999999,4,969700.0,102503285.66627502,inf,0.00421703363958905,0.00926246332820667,1.8848153279938384,0.03833753187411114
1,"Universal Health Services, Inc.",UHS,2017-01-09 00:00:00.000000000,2017-01-15 23:59:59.999999999,5,710200.0,77789534.03015137,0.0168681345583562,0.002026188327645116,0.0037800646935444264,2.25931962508854,0.0007100684082012945
2,"Universal Health Services, Inc.",UHS,2017-01-16 00:00:00.000000000,2017-01-22 23:59:59.999999999,4,598725.0,66191393.385505676,0.01013094163822558,-0.0033902003431110846,0.00973261509683954,2.373782540849352,0.0015964510134809742
3,"Universal Health Services, Inc.",UHS,2017-01-23 00:00:00.000000000,2017-01-29 23:59:59.999999999,5,654560.0,72186259.0826416,-0.013560801372444338,0.0026922472558533845,0.008573094279830877,1.6054229533950224,0.008146502185224402
4,"Universal Health Services, Inc.",UHS,2017-01-30 00:00:00.000000000,2017-02-05 23:59:59.999999999,5,701540.0,77580166.52755737,0.013461236279266922,0.0019511917380750604,0.005757652125308424,0.4750311028091959,0.02283714973449482
5,"Universal Health Services, Inc.",UHS,2017-02-06 00:00:00.000000000,2017-02-12 23:59:59.999999999,5,671860.0,75270271.8510437,0.009755958690375302,0.006288749299696346,0.014625675173099468,4.16688228266937,0.05581804635798244
6,"Universal Health Services, Inc.",UHS,2017-02-13 00:00:00.000000000,2017-02-19 23:59:59.999999999,5,872340.0,103385074.94903564,0.03144374649848173,0.008601969591408258,0.016654647821602468,9.242291319607187,0.024644227767911593
7,"Universal Health Services, Inc.",UHS,2017-02-20 00:00:00.000000000,2017-02-26 23:59:59.999999999,4,589700.0,71911236.68041229,0.04300984795704129,0.002667448835130366,0.007408389496291274,1.2943838942690515,-0.0023832292669778428
8,"Universal Health Services, Inc.",UHS,2017-02-27 00:00:00.000000000,2017-03-05 23:59:59.999999999,5,963720.0,118009737.5906372,0.010669795340521464,-0.0016896896472559056,0.011392613400235256,6.149616087362296,-0.029941258751687887
9,"Universal Health Services, Inc.",UHS,2017-03-06 00:00:00.000000000,2017-03-12 23:59:59.999999999,5,796540.0,96675542.87216187,-0.008448448236279528,-0.0074905271494212665,0.013620294933576256,3.589325735440284,-0.014283337722395241
10,"Universal Health Services, Inc.",UHS,2017-03-13 00:00:00.000000000,2017-03-19 23:59:59.999999999,5,644680.0,76103707.19558716,-0.03745263574710633,-0.0031152661128669087,0.007065380476012165,1.2297990998081336,0.015073366873750594
11,"Universal Health Services, Inc.",UHS,2017-03-20 00:00:00.000000000,2017-03-26 23:59:59.999999999,5,757740.0,88829313.5609436,-0.015576330564334544,0.004000005485363581,0.012398420597285211,2.615816674039002,0.021002450167412944
12,"Universal Health Services, Inc.",UHS,2017-03-27 00:00:00.000000000,2017-04-02 23:59:59.999999999,5,1103120.0,135286992.76000977,0.020000027426817904,-0.0024133303523988852,0.005426746043256005,1.8518732056135905,-0.009562007353740545
13,"Universal Health Services, Inc.",UHS,2017-04-03 00:00:00.000000000,2017-04-09 23:59:59.999999999,5,556800.0,67370682.3652649,-0.012066651761994427,-0.002894394579733086,0.0064329791529372455,0.9664563445747685,-0.011763809115731648
14,"Universal Health Services, Inc.",UHS,2017-04-10 00:00:00.000000000,2017-04-16 23:59:59.999999999,4,454550.0,54582364.09492493,-0.01447197289866543,-0.0033211847337261363,0.005710267309066234,0.5125147232255626,-0.024382273457131596
15,"Universal Health Services, Inc.",UHS,2017-04-17 00:00:00.000000000,2017-04-23 23:59:59.999999999,5,786480.0,92104524.70977783,-0.013284738934904545,-0.005180350707071741,0.010310505692522724,2.3970010563399637,0.016156385808798555
16,"Universal Health Services, Inc.",UHS,2017-04-24 00:00:00.000000000,2017-04-30 23:59:59.999999999,5,857400.0,100334132.03140259,-0.025901753535358705,-0.00023156438992022157,0.012461548736288266,3.684303387665217,0.010185302758749829
17,"Universal Health Services, Inc.",UHS,2017-05-01 00:00:00.000000000,2017-05-07 23:59:59.999999999,5,1034240.0,124225988.31298828,-0.0011578219496011079,0.00257388653160153,0.012582295202530208,4.574121010467793,0.00245928978244269
18,"Universal Health Services, Inc.",UHS,2017-05-08 00:00:00.000000000,2017-05-14 23:59:59.999999999,5,462200.0,55323195.201416016,0.012869432658007652,0.0015990783899224946,0.006801269463991934,1.062956713964195,-0.029519928106726122
19,"Universal Health Services, Inc.",UHS,2017-05-15 00:00:00.000000000,2017-05-21 23:59:59.999999999,5,480320.0,56101488.0821228,0.007995391949612473,-0.0052030849804167514,0.013115191021241026,4.914385531957098,-0.021991859761710635
20,"Universal Health Services, Inc.",UHS,2017-05-22 00:00:00.000000000,2017-05-28 23:59:59.999999999,5,663620.0,75930636.58737183,-0.026015424902083757,-0.006356339515726149,0.014431454646692847,4.499448478963881,-0.015693892518989085
21,"Universal Health Services, Inc.",UHS,2017-05-29 00:00:00.000000000,2017-06-04 23:59:59.999999999,4,729200.0,81781123.47259521,-0.031781697578630745,-0.002128035504866824,0.008390833167731562,1.943571159734559,-0.006307294370708013
22,"Universal Health Services, Inc.",UHS,2017-06-05 00:00:00.000000000,2017-06-11 23:59:59.999999999,5,667260.0,73984910.47714233,-0.008512142019467296,-0.0024555492746761052,0.008178028907344237,1.8537674719150126,0.014458041346377177
23,"Universal Health Services, Inc.",UHS,2017-06-12 00:00:00.000000000,2017-06-18 23:59:59.999999999,5,685400.0,77618130.53497314,-0.012277746373380525,-0.0008997517740064215,0.00576346543036345,2.2116474313055154,0.003128568916702733
24,"Universal Health Services, Inc.",UHS,2017-06-19 00:00:00.000000000,2017-06-25 23:59:59.999999999,5,844180.0,94871191.3987732,-0.004498758870032107,-0.00015578873395429883,0.008697129365714373,1.770370176325597,0.05761070926365288
25,"Universal Health Services, Inc.",UHS,2017-06-26 00:00:00.000000000,2017-07-02 23:59:59.999999999,5,814500.0,95766597.61734009,-0.0007789436697714942,0.010700782310247571,0.022219048348267958,15.00765146541158,-0.0003277005791314191
26,"Universal Health Services, Inc.",UHS,2017-07-03 00:00:00.000000000,2017-07-09 23:59:59.999999999,4,502600.0,59728560.98232269,0.053503911551237855,0.0010284779776866056,0.009547313715329013,2.0225894930034034,0.01737146025974839
27,"Universal Health Services, Inc.",UHS,2017-07-10 00:00:00.000000000,2017-07-16 23:59:59.999999999,5,549080.0,65950898.77304077,0.004113911910746422,0.003958921473176572,0.00757428952846935,1.2076470020154115,0.002093961572461329
28,"Universal Health Services, Inc.",UHS,2017-07-17 00:00:00.000000000,2017-07-23 23:59:59.999999999,5,618940.0,75229832.64801025,0.01979460736588286,0.0005157110811662544,0.004922183483280057,0.6712961092370839,-0.10384186799781883
29,"Universal Health Services, Inc.",UHS,2017-07-24 00:00:00.000000000,2017-07-30 23:59:59.999999999,5,1655740.0,185598105.7130432,0.002578555405831272,-0.020638643876985087,0.05731516653098155,82.30801062872372,-0.030582852725069005
30,"Universal Health Services, Inc.",UHS,2017-07-31 00:00:00.000000000,2017-08-06 23:59:59.999999999,5,918800.0,98556438.61923218,-0.10319321938492543,-0.0049444747143712635,0.013356695957650919,4.012900541675797,-0.0046258192689549275
31,"Universal Health Services, Inc.",UHS,2017-08-07 00:00:00.000000000,2017-08-13 23:59:59.999999999,5,911120.0,95142274.93881226,-0.024722373571856318,0.0006340282728309136,0.008305620335626285,1.5168854315940015,0.00371783904002748
32,"Universal Health Services, Inc.",UHS,2017-08-14 00:00:00.000000000,2017-08-20 23:59:59.999999999,5,772520.0,81488847.45513916,0.003170141364154568,0.000557139849400216,0.005249424222226769,0.5913560834740894,0.008797260565145753
33,"Universal Health Services, Inc.",UHS,2017-08-21 00:00:00.000000000,2017-08-27 23:59:59.999999999,5,381860.0,40463555.835113525,0.0027856992470010797,0.002040111030070602,0.0042297788280113895,0.31199928871486804,0.0024059041414384976
34,"Universal Health Services, Inc.",UHS,2017-08-28 00:00:00.000000000,2017-09-03 23:59:59.999999999,5,706100.0,74626466.22894287,0.01020055515035301,0.0002422623832427651,0.010990951390634636,2.1710721165882205,0.012832297223101087
35,"Universal Health Services, Inc.",UHS,2017-09-04 00:00:00.000000000,2017-09-10 23:59:59.999999999,4,704900.0,75390372.80921936,0.0012113119162138256,0.005668649876477168,0.013599976088430537,2.848895482084366,0.001538386923450192
36,"Universal Health Services, Inc.",UHS,2017-09-11 00:00:00.000000000,2017-09-17 23:59:59.999999999,5,528220.0,57846255.89981079,0.022674599505908673,-0.003410639322255713,0.006997540259711136,0.8649542188453627,-0.012469363808213032
37,"Universal Health Services, Inc.",UHS,2017-09-18 00:00:00.000000000,2017-09-24 23:59:59.999999999,5,594980.0,63469053.76495361,-0.017053196611278566,0.0006794059817620525,0.007607617854729092,2.0165067178561062,0.015097393121160542
38,"Universal Health Services, Inc.",UHS,2017-09-25 00:00:00.000000000,2017-10-01 23:59:59.999999999,5,613780.0,65814069.27078247,0.0033970299088102625,0.005653872759235923,0.010246331409437873,1.4633713214303308,-0.007211073292157697
39,"Universal Health Services, Inc.",UHS,2017-10-02 00:00:00.000000000,2017-10-08 23:59:59.999999999,5,652400.0,71446055.05142212,0.028269363796179618,-0.0037245276546976286,0.008706043415373925,1.3380785414525223,-0.04167418995810521
40,"Universal Health Services, Inc.",UHS,2017-10-09 00:00:00.000000000,2017-10-15 23:59:59.999999999,5,919080.0,95833203.2925415,-0.018622638273488142,-0.0029496674472958935,0.008349115093743404,7.056051314620179,0.06916139969863118
41,"Universal Health Services, Inc.",UHS,2017-10-16 00:00:00.000000000,2017-10-22 23:59:59.999999999,5,1076680.0,115319795.44937134,-0.014748337236479466,0.013731015327301237,0.02469597581486289,12.021187314530863,-0.08294196243156862
42,"Universal Health Services, Inc.",UHS,2017-10-23 00:00:00.000000000,2017-10-29 23:59:59.999999999,5,1517000.0,159400171.95663452,0.06865507663650619,-0.016767030214295167,0.04136327710790361,32.59513229669289,-0.01816582561301175
43,"Universal Health Services, Inc.",UHS,2017-10-30 00:00:00.000000000,2017-11-05 23:59:59.999999999,5,966160.0,96744907.37792969,-0.08383515107147584,-0.0013101066907350214,0.003938855565115166,0.4690406035833051,-0.03838199928398228
