,name,stock
0,The AES Corporation,AES
0,"Darden Restaurants, Inc.",DRI
0,Las Vegas Sands Corp.,LVS
0,Zions Bancorporation N.A.,ZION
0,"TJX Companies, Inc. (The)",TJX
0,CarMax Inc,KMX
0,DaVita Inc.,DVA
0,"PayPal Holdings, Inc.",PYPL
0,Intuit Inc.,INTU
0,"Analog Devices, Inc.",ADI
0,Hartford Financial Services Gro,HIG
0,Microchip Technology Incorporat,MCHP
0,Global Payments Inc.,GPN
0,"Altria Group, Inc.",MO
0,DBA Sempra,SRE
0,Welltower Inc.,WELL
0,Tractor Supply Company,TSCO
0,Newmont Corporation,NEM
0,Regency Centers Corporation,REG
0,General Motors Company,GM
0,Kellogg Company,K
0,Viatris Inc.,VTRS
0,"Boston Properties, Inc.",BXP
0,"Universal Health Services, Inc.",UHS
0,Johnson Controls International ,JCI
0,"Akamai Technologies, Inc.",AKAM
0,IDEX Corporation,IEX
0,"ANSYS, Inc.",ANSS
0,Visa Inc.,V
0,Southwest Airlines Company,LUV
